address_id,customer_id,address_type,address_line1,district,province,postal_code,country,is_primary
ADR0000025,CUS0000023,Registered,11/91 ถ.ตะละภัฏ,นครปฐม,สุราษฎร์ธานี,93590,TH,True
ADR0000026,CUS0000024,Registered,24 หมู่ 9 ถ.ฉิมพาลี,บางรัก,กรุงเทพมหานคร,65980,TH,True
ADR0000027,CUS0000025,Registered,285 ถ.ไทนิยม,ลำปาง,เชียงราย,23050,TH,True
ADR0000028,CUS0000026,Registered,25/48 ถนนถนัดอักษร,อุบลราชธานี,นนทบุรี,68200,TH,True
ADR0000029,CUS0000027,Registered,59 หมู่ 3 ถนนงามพิเชษฐ์,เชียงใหม่,ชลบุรี,53410,TH,True
ADR0000030,CUS0000028,Registered,598 ถ.ถนัดรบ,นนทบุรี,นนทบุรี,76300,TH,True
ADR0000031,CUS0000029,Registered,23/51 ถ.พงศ์ฉบับนภา,พญาไท,กรุงเทพมหานคร,95220,TH,True
ADR0000032,CUS0000030,Registered,57/5 ถนนสงประเสริฐ,สวนหลวง,กรุงเทพมหานคร,84050,TH,True
ADR0000033,CUS0000031,Registered,75/5 ถ.ธัญาโภชน์,พระนครศรีอยุธยา,ชลบุรี,35910,TH,True
ADR0000034,CUS0000032,Registered,65 ถ.นาคะนคร,ตรัง,เชียงราย,82790,TH,True
ADR0000035,CUS0000033,Registered,71 ถนนตั้งกุลงาม,ดอนเมือง,กรุงเทพมหานคร,54720,TH,True
ADR0000036,CUS0000034,Registered,119/6 ถ.สันตะวงศ์,ตรัง,พิษณุโลก,31080,TH,True
ADR0000037,CUS0000034,Mailing,815 ถนนน้ำทิพย์,อุบลราชธานี,นครปฐม,10910,TH,False
ADR0000038,CUS0000035,Registered,65 หมู่ 51 ถ.ทรงโกมล,สุราษฎร์ธานี,พระนครศรีอยุธยา,86010,TH,True
ADR0000039,CUS0000035,Mailing,341 ถนนวิลาสินี,ประเวศ,กรุงเทพมหานคร,22210,TH,False
ADR0000040,CUS0000036,Registered,80 หมู่ 40 ถนนตันตราจิณ,อุบลราชธานี,นครราชสีมา,81000,TH,True
ADR0000041,CUS0000037,Registered,21/85 ถ.มิ่งขวัญ,สงขลา,นครราชสีมา,82880,TH,True
ADR0000042,CUS0000038,Registered,82 หมู่ 1 ถ.เณรานุสนธิ์,เชียงใหม่,เชียงใหม่,82130,TH,True
ADR0000043,CUS0000039,Registered,92 ถ.แก้วชลคราม,บางนา,กรุงเทพมหานคร,99830,TH,True
ADR0000044,CUS0000039,Mailing,127 ถนนสุวรรณหงษ์,นครราชสีมา,นครปฐม,67000,TH,False
ADR0000045,CUS0000040,Registered,363 ถนนศรีสัตย์,อ้อมน้อย,พระนครศรีอยุธยา,61850,TH,True
ADR0000046,CUS0000041,Registered,51/85 ถนนทองอยู่,สงขลา,ภูเก็ต,75240,TH,True
ADR0000047,CUS0000042,Registered,252/4 ถนนทองแท้,นครปฐม,ระยอง,11630,TH,True
ADR0000048,CUS0000043,Registered,341/05 ถ.ไทไชโย,เชียงราย,สงขลา,77570,TH,True
ADR0000049,CUS0000044,Registered,566/34 ถนนซาซุม,มีนบุรี,กรุงเทพมหานคร,55660,TH,True
ADR0000050,CUS0000045,Registered,64 ถ.นิติสาขา,ราชเทวี,กรุงเทพมหานคร,20730,TH,True
ADR0000051,CUS0000046,Registered,19/8 ถนนตัณสถิตย์,นครปฐม,ปทุมธานี,50030,TH,True
ADR0000052,CUS0000047,Registered,723/49 ถนนปรีชากุลเศรษฐ์,พิษณุโลก,นครปฐม,22270,TH,True
ADR0000053,CUS0000048,Registered,5/1 ถนนตัณสถิตย์,นครปฐม,เชียงราย,42610,TH,True
ADR0000054,CUS0000049,Registered,32/4 ถนนธรรมสถิตไพศาล,สมุทรปราการ,ลำปาง,38800,TH,True
ADR0000055,CUS0000050,Registered,314 ถนนบุนยะตีรณะ,สมุทรปราการ,ขอนแก่น,10000,TH,True
ADR0000056,CUS0000050,Mailing,253/2 ถนนขันธุลา,แหลมฉบัง,ระยอง,42160,TH,False
ADR0000057,CUS0000051,Registered,9/8 ถนนนิยมธรรม,เชียงราย,นครปฐม,70400,TH,True
ADR0000058,CUS0000052,Registered,1/0 ถนนอัตตนาถ,ภูเก็ต,เชียงราย,23870,TH,True
ADR0000059,CUS0000052,Mailing,832/6 ถนนนักรบ,สงขลา,ภูเก็ต,82130,TH,False
ADR0000060,CUS0000053,Registered,6 ถ.ทองแท้,แหลมฉบัง,สงขลา,77180,TH,True
ADR0000061,CUS0000054,Registered,125 ถนนนากกนก,พิษณุโลก,พิษณุโลก,82320,TH,True
ADR0000062,CUS0000055,Registered,141/8 ถ.นวลเพ็ง,เกาะสมุย,ลำปาง,13920,TH,True
ADR0000063,CUS0000056,Registered,437 ถ.มิ่งขวัญ,แหลมฉบัง,พิษณุโลก,52040,TH,True
ADR0000064,CUS0000057,Registered,724 ถนนด้วงโสน,นครปฐม,ปทุมธานี,24530,TH,True
ADR0000065,CUS0000058,Registered,20 หมู่ 4 ถ.ถาวระวรณ์,ลำปาง,เชียงราย,13440,TH,True
ADR0000066,CUS0000059,Registered,2 ถนนเธียรายัน,นนทบุรี,ขอนแก่น,87970,TH,True
ADR0000067,CUS0000060,Registered,37 หมู่ 60 ถนนบุญส่ง,อุบลราชธานี,พระนครศรีอยุธยา,32370,TH,True
ADR0000068,CUS0000060,Mailing,705 ถ.ตั้งรบ,ปากเกร็ด,นครปฐม,33870,TH,False
ADR0000069,CUS0000061,Registered,55 หมู่ 96 ซ.ปานสุวรรณ,ตรัง,เชียงราย,70270,TH,True
ADR0000070,CUS0000062,Registered,0/6 ถนนบุญบำรุง,พัทยา,อุดรธานี,25040,TH,True
ADR0000071,CUS0000063,Registered,150/2 ถ.นิยมสำหรวจ,ภูเก็ต,นนทบุรี,30460,TH,True
ADR0000072,CUS0000064,Registered,10 ถนนทันยุค,นครปฐม,เชียงใหม่,82700,TH,True
ADR0000073,CUS0000064,Mailing,2/8 ถนนถาวระวรณ์,สวนหลวง,กรุงเทพมหานคร,63090,TH,False
ADR0000074,CUS0000065,Registered,36/3 ถ.ศรีสัตย์,ปทุมวัน,กรุงเทพมหานคร,43490,TH,True
ADR0000075,CUS0000066,Registered,22 หมู่ 73 ถ.นิลสุวรรณ์,อ้อมน้อย,อุดรธานี,39070,TH,True
ADR0000076,CUS0000067,Registered,1/0 ถนนสาระพันธ์,นครศรีธรรมราช,สมุทรสาคร,28050,TH,True
ADR0000077,CUS0000067,Mailing,83 หมู่ 93 ถ.มนทอง,สกลนคร,ขอนแก่น,14710,TH,False
ADR0000078,CUS0000068,Registered,998/83 ถนนร่มธิติรัตน์,นครสวรรค์,พิษณุโลก,28140,TH,True
ADR0000079,CUS0000069,Registered,501/1 ถ.หิรัญสาลี,นครราชสีมา,นนทบุรี,81640,TH,True
ADR0000080,CUS0000070,Registered,077/5 ถ.นากกนก,คลองเตย,กรุงเทพมหานคร,27280,TH,True
ADR0000081,CUS0000071,Registered,97/2 ถนนราชมณี,ภาษีเจริญ,กรุงเทพมหานคร,12580,TH,True
ADR0000082,CUS0000072,Registered,14/33 ถนนนุ่มกัน,ภาษีเจริญ,กรุงเทพมหานคร,76480,TH,True
ADR0000083,CUS0000073,Registered,2/1 ถนนตระกูลบุญ,สุราษฎร์ธานี,พระนครศรีอยุธยา,26790,TH,True
ADR0000084,CUS0000074,Registered,67 ถนนทรงโกมล,แหลมฉบัง,ภูเก็ต,37350,TH,True
ADR0000085,CUS0000075,Registered,40 หมู่ 29 ถ.บุตดา,พระนครศรีอยุธยา,สุราษฎร์ธานี,77890,TH,True
ADR0000086,CUS0000076,Registered,2/5 ถ.ทองสินธุ์,สงขลา,ขอนแก่น,58000,TH,True
ADR0000087,CUS0000077,Registered,680 ถนนดิสกะประกาย,นครปฐม,ปทุมธานี,81540,TH,True
ADR0000088,CUS0000078,Registered,876 ถ.ติระคมน์,นครศรีธรรมราช,เชียงราย,29230,TH,True
ADR0000089,CUS0000079,Registered,23 หมู่ 15 ถนนวุฑฒยากร,ระยอง,ชลบุรี,48230,TH,True
ADR0000090,CUS0000080,Registered,36 ถนนอัตตนาถ,สมุทรสาคร,พระนครศรีอยุธยา,67470,TH,True
ADR0000091,CUS0000081,Registered,473/0 ถนนบุณยะภาชน์,ห้วยขวาง,กรุงเทพมหานคร,45810,TH,True
ADR0000092,CUS0000082,Registered,99 ถนนทรัพย์ธำรงค์,ขอนแก่น,สุราษฎร์ธานี,31690,TH,True
ADR0000093,CUS0000083,Registered,56 ถนนทองลาภ,เจ้าพระยาสุรศักดิ์,อุบลราชธานี,99110,TH,True
ADR0000094,CUS0000084,Registered,81/9 ถนนบุนยาภิสนท์,นครสวรรค์,สมุทรสาคร,47510,TH,True
ADR0000095,CUS0000085,Registered,44 หมู่ 80 ถนนไทยสุชาต,ตรัง,นครราชสีมา,84350,TH,True
ADR0000096,CUS0000086,Registered,41 หมู่ 3 ถนนธุวะนุติ์,สกลนคร,นครราชสีมา,88470,TH,True
ADR0000097,CUS0000087,Registered,201/4 ถนนเวียงจันทึก,ระยอง,อุดรธานี,72140,TH,True
ADR0000098,CUS0000088,Registered,21/4 ถ.เตมิยะเดช,อ้อมน้อย,อุดรธานี,46280,TH,True
ADR0000099,CUS0000089,Registered,6/7 ซอยเขียวขุ้ย,เกาะสมุย,สุราษฎร์ธานี,96600,TH,True
ADR0000100,CUS0000090,Registered,11/80 ถนนทองประดิฐ,บางรัก,กรุงเทพมหานคร,22740,TH,True
ADR0000101,CUS0000091,Registered,98 หมู่ 2 ถนนธัญเสถียร,ภาษีเจริญ,กรุงเทพมหานคร,69410,TH,True
ADR0000102,CUS0000092,Registered,13 หมู่ 9 ถ.ถนัดกลึง,เกาะสมุย,สุราษฎร์ธานี,28040,TH,True
ADR0000103,CUS0000093,Registered,0/3 ถนนโพธิสัตย์,สาทร,กรุงเทพมหานคร,26670,TH,True
ADR0000104,CUS0000094,Registered,459/3 ถ.นกทอง,เกาะสมุย,พิษณุโลก,33830,TH,True
ADR0000105,CUS0000095,Registered,950/8 ถ.ธรรมทินนา,ยะลา,เชียงราย,36150,TH,True
ADR0000106,CUS0000096,Registered,335/44 ถ.ธรรมเมธา,คลองเตย,กรุงเทพมหานคร,19330,TH,True
ADR0000107,CUS0000097,Registered,22 ซ.ตันเผ่า,อ้อมน้อย,ชลบุรี,16690,TH,True
ADR0000108,CUS0000098,Registered,4 ถ.ธนประทีป,พญาไท,กรุงเทพมหานคร,15140,TH,True
ADR0000109,CUS0000098,Mailing,876 ถนนธูปะวิโรจน์,สาทร,กรุงเทพมหานคร,83530,TH,False
ADR0000110,CUS0000099,Registered,385/07 ถ.ธุวะนุติ์,ตรัง,ระยอง,16120,TH,True
ADR0000111,CUS0000100,Registered,91 ถ.แต้กุล,นครปฐม,ระยอง,83860,TH,True
ADR0000112,CUS0000101,Registered,04/30 ถ.บุนยะศัพท์,ระยอง,ภูเก็ต,82130,TH,True
ADR0000113,CUS0000101,Mailing,7/1 ถนนถนัดรักษา,รังสิต,เชียงราย,74650,TH,False
ADR0000114,CUS0000102,Registered,7 ถนนนุตตาร,แม่สอด,ชลบุรี,59880,TH,True
ADR0000115,CUS0000102,Mailing,48/7 ถนนบุนยะตีรณะ,ตรัง,พระนครศรีอยุธยา,22550,TH,False
ADR0000116,CUS0000103,Registered,16/8 ถนนถนอมกุลบุตร,แม่สอด,นครราชสีมา,90740,TH,True
ADR0000117,CUS0000104,Registered,8/4 ถนนถุงเงิน,ยะลา,สุราษฎร์ธานี,79960,TH,True
ADR0000118,CUS0000105,Registered,6/5 ถ.เพียยา,แหลมฉบัง,สมุทรสาคร,19420,TH,True
ADR0000119,CUS0000106,Registered,48/7 ถนนภูภักดี,อ้อมน้อย,สงขลา,12570,TH,True
ADR0000120,CUS0000107,Registered,07 ถนนสุวรรณหงษ์,เจ้าพระยาสุรศักดิ์,สมุทรสาคร,13180,TH,True
ADR0000121,CUS0000108,Registered,108/6 ถนนธรรมทินนา,แหลมฉบัง,นครปฐม,78000,TH,True
ADR0000122,CUS0000109,Registered,5 ถ.ตราชู,พิษณุโลก,สมุทรปราการ,74140,TH,True
ADR0000123,CUS0000110,Registered,546/4 ถ.พีระเพ็ญกุล,พระนครศรีอยุธยา,นนทบุรี,41140,TH,True
ADR0000124,CUS0000111,Registered,76 หมู่ 54 ถนนบัวเผื่อน,ธนบุรี,กรุงเทพมหานคร,32430,TH,True
ADR0000125,CUS0000112,Registered,14 หมู่ 83 ซ.ทองสินธุ์,ลำปาง,ลำปาง,99090,TH,True
ADR0000126,CUS0000113,Registered,072/37 ถ.ธัญาโภชน์,คลองเตย,กรุงเทพมหานคร,47850,TH,True
ADR0000127,CUS0000114,Registered,2 ถนนถนัดหัตถกรรม,หาดใหญ่,นครราชสีมา,80450,TH,True
ADR0000128,CUS0000115,Registered,460/4 ถ.ทรัพย์สาร,กรุงเทพมหานคร,สุราษฎร์ธานี,62860,TH,True
ADR0000129,CUS0000116,Registered,3/0 ถ.เขียวขุ้ย,แหลมฉบัง,พระนครศรีอยุธยา,49150,TH,True
ADR0000130,CUS0000117,Registered,97/01 ถ.ถุงเงิน,ยะลา,พระนครศรีอยุธยา,14200,TH,True
ADR0000131,CUS0000118,Registered,26/07 ถ.ธรรมสถิตไพศาล,ตรัง,นนทบุรี,19530,TH,True
ADR0000132,CUS0000119,Registered,86 หมู่ 88 ซ.บุญบำรุง,อุบลราชธานี,นครราชสีมา,96080,TH,True
ADR0000133,CUS0000120,Registered,78 หมู่ 32 ถนนเช้าวันดี,คลองเตย,กรุงเทพมหานคร,30390,TH,True
ADR0000134,CUS0000121,Registered,345/41 ถนนผลบุญ,แม่สอด,สงขลา,23650,TH,True
ADR0000135,CUS0000122,Registered,55/9 ถนนประจันตะเสน,เจ้าพระยาสุรศักดิ์,นครปฐม,70300,TH,True
ADR0000136,CUS0000122,Mailing,583/75 ถ.ขำเอนก,ปากเกร็ด,สมุทรปราการ,78470,TH,False
ADR0000137,CUS0000123,Registered,947/3 ถนนทองสีไพล,สมุทรปราการ,เชียงราย,96760,TH,True
ADR0000138,CUS0000124,Registered,01/64 ถนนมิ่งขวัญ,ภูเก็ต,ภูเก็ต,13660,TH,True
ADR0000139,CUS0000125,Registered,596/10 ถนนนานายน,รังสิต,พิษณุโลก,20770,TH,True
ADR0000140,CUS0000125,Mailing,32 หมู่ 45 ถ.ตั้งรบ,เชียงราย,อุดรธานี,19690,TH,False
ADR0000141,CUS0000126,Registered,63/3 ถนนตันตราจิณ,พระนครศรีอยุธยา,อุดรธานี,64280,TH,True
ADR0000142,CUS0000126,Mailing,704/82 ถ.บุญศล,ดอนเมือง,กรุงเทพมหานคร,39410,TH,False
ADR0000143,CUS0000127,Registered,56 หมู่ 5 ถนนนาถะเดชะ,ระยอง,สมุทรปราการ,49810,TH,True
ADR0000144,CUS0000128,Registered,58 หมู่ 14 ถนนพรสีมา,ปากเกร็ด,สงขลา,90010,TH,True
ADR0000145,CUS0000129,Registered,89/02 ถนนนิระหานี,ประเวศ,กรุงเทพมหานคร,99030,TH,True
ADR0000146,CUS0000130,Registered,08/3 ถนนแนวพนิช,คลองเตย,กรุงเทพมหานคร,48780,TH,True
ADR0000147,CUS0000131,Registered,208/2 ถนนตั้งเผ่า,ระยอง,อุดรธานี,54010,TH,True
ADR0000148,CUS0000132,Registered,73/36 ถ.ทรัพย์สาร,หาดใหญ่,อุบลราชธานี,64100,TH,True
ADR0000149,CUS0000133,Registered,22/0 ถ.เนื่องนนท์,ราชเทวี,กรุงเทพมหานคร,24470,TH,True
ADR0000150,CUS0000134,Registered,29 ถ.ฉัตรอภิเที่ยงค่ำ,นครปฐม,อุดรธานี,97260,TH,True
ADR0000151,CUS0000135,Registered,98 หมู่ 1 ถนนตันตราจิณ,ภูเก็ต,ลำปาง,71440,TH,True
ADR0000152,CUS0000136,Registered,4 ถ.ศรีตะวัน,นครสวรรค์,สมุทรสาคร,93430,TH,True
ADR0000153,CUS0000137,Registered,64 หมู่ 90 ถนนธรรมฤดี,แหลมฉบัง,นนทบุรี,29730,TH,True
ADR0000154,CUS0000138,Registered,83 หมู่ 88 ถนนนำธวัช,ภูเก็ต,ขอนแก่น,26420,TH,True
ADR0000155,CUS0000139,Registered,740 ถนนหอมพิกุล,ปากเกร็ด,สุราษฎร์ธานี,59990,TH,True
ADR0000156,CUS0000140,Registered,13 หมู่ 29 ถนนทันยุค,สมุทรปราการ,สมุทรปราการ,37800,TH,True
ADR0000157,CUS0000141,Registered,6 ถนนหอมสิน,นครศรีธรรมราช,นครปฐม,85330,TH,True
ADR0000158,CUS0000142,Registered,25 หมู่ 4 ถ.ทองปากน้ำ,ปากเกร็ด,สมุทรสาคร,54050,TH,True
ADR0000159,CUS0000143,Registered,117 ถนนดิสกะประกาย,สมุทรปราการ,นครปฐม,58090,TH,True
ADR0000160,CUS0000144,Registered,784/68 ถนนยาปะโลหิต,ระยอง,สมุทรปราการ,47140,TH,True
ADR0000161,CUS0000145,Registered,207 ถนนธีวร,หาดใหญ่,เชียงใหม่,33870,TH,True
ADR0000162,CUS0000146,Registered,10 หมู่ 76 ถนนศาสตร์ศิลป์,ระยอง,นครราชสีมา,23870,TH,True
ADR0000163,CUS0000147,Registered,36 หมู่ 5 ถนนนกทอง,อ้อมน้อย,อุดรธานี,56600,TH,True
ADR0000164,CUS0000147,Mailing,542 ถนนทองประดิฐ,ยะลา,ชลบุรี,82540,TH,False
ADR0000165,CUS0000148,Registered,047 ถนนเณรานุสนธิ์,ตรัง,ชลบุรี,20810,TH,True
ADR0000166,CUS0000149,Registered,085 ถ.นักสำหรวจ,ธนบุรี,กรุงเทพมหานคร,30660,TH,True
ADR0000167,CUS0000149,Mailing,58 ถ.นิระหานี,รังสิต,สมุทรสาคร,43800,TH,False
ADR0000168,CUS0000150,Registered,768 ถนนพานเกล้า,เจ้าพระยาสุรศักดิ์,ลำปาง,12420,TH,True
ADR0000169,CUS0000150,Mailing,814/3 ถ.แนวพญา,อุบลราชธานี,อุบลราชธานี,93740,TH,False
ADR0000170,CUS0000151,Registered,62 ถนนดิศดใน,อุดรธานี,ภูเก็ต,63500,TH,True
ADR0000171,CUS0000152,Registered,070 ถนนนิษประปัญจ์,ตรัง,อุดรธานี,56530,TH,True
ADR0000172,CUS0000153,Registered,3 ซ.บินดี,สมุทรปราการ,นครปฐม,37360,TH,True
ADR0000173,CUS0000153,Mailing,018/19 ถนนสันตะวงศ์,บางรัก,กรุงเทพมหานคร,83470,TH,False
ADR0000174,CUS0000154,Registered,7 ถนนนวลเพ็ง,นนทบุรี,สมุทรปราการ,37590,TH,True
ADR0000175,CUS0000155,Registered,78/0 ถ.แจ้งสว่าง,นครราชสีมา,ปทุมธานี,49210,TH,True
ADR0000176,CUS0000155,Mailing,7/1 ถ.เช้าวันดี,เกาะสมุย,พิษณุโลก,51720,TH,False
ADR0000177,CUS0000156,Registered,417/23 ถนนถนัดพิมพการ,ระยอง,นครราชสีมา,67910,TH,True
ADR0000178,CUS0000157,Registered,93/5 ถ.ซูสารอ,อ้อมน้อย,นครปฐม,17020,TH,True
ADR0000179,CUS0000158,Registered,591 ถนนโพธิสัตย์,เกาะสมุย,สมุทรปราการ,27800,TH,True
ADR0000180,CUS0000159,Registered,64 ถ.สุวรรณหงษ์,บางกะปิ,กรุงเทพมหานคร,27680,TH,True
ADR0000181,CUS0000159,Mailing,940/4 ถ.ทรัพย์สาร,สาทร,กรุงเทพมหานคร,34300,TH,False
ADR0000182,CUS0000160,Registered,45/32 ถ.สุวรรณหงษ์,พระนครศรีอยุธยา,เชียงราย,44550,TH,True
ADR0000183,CUS0000161,Registered,27/2 ถ.ทรัพย์สาร,มีนบุรี,กรุงเทพมหานคร,28090,TH,True
ADR0000184,CUS0000162,Registered,890 ถ.ถนัดเดินข่าว,เจ้าพระยาสุรศักดิ์,พระนครศรีอยุธยา,69430,TH,True
ADR0000185,CUS0000163,Registered,56 หมู่ 8 ถนนทีฆะ,ยะลา,ขอนแก่น,52450,TH,True
ADR0000186,CUS0000164,Registered,054 ถนนอุ่นอก,สงขลา,ลำปาง,95110,TH,True
ADR0000187,CUS0000165,Registered,8/4 ถนนไชยภา,เจ้าพระยาสุรศักดิ์,นนทบุรี,23390,TH,True
ADR0000188,CUS0000166,Registered,504/65 ถ.พรมอ่อน,ระยอง,สุราษฎร์ธานี,48580,TH,True
ADR0000189,CUS0000167,Registered,26/9 ถ.บุญญาไลย์,เชียงราย,เชียงใหม่,46820,TH,True
ADR0000190,CUS0000168,Registered,83 หมู่ 0 ถนนเพียยา,พัทยา,นครปฐม,33040,TH,True
ADR0000191,CUS0000169,Registered,2 ถ.บุญญาภิรมย์,แม่สอด,เชียงราย,15340,TH,True
ADR0000192,CUS0000170,Registered,33 หมู่ 73 ถ.นิละทัต,อุดรธานี,อุดรธานี,98700,TH,True
ADR0000193,CUS0000171,Registered,19/84 ถนนนุตตาร,นครราชสีมา,พิษณุโลก,40260,TH,True
ADR0000194,CUS0000172,Registered,9 ถ.ธรรมนิยม,ดอนเมือง,กรุงเทพมหานคร,16890,TH,True
ADR0000195,CUS0000172,Mailing,92 หมู่ 3 ถนนด้วงโสน,พระนคร,กรุงเทพมหานคร,23790,TH,False
ADR0000196,CUS0000173,Registered,141/48 ถ.นฤภัย,ระยอง,นนทบุรี,28760,TH,True
ADR0000197,CUS0000174,Registered,246/06 ถนนบุญส่ง,บางนา,กรุงเทพมหานคร,74630,TH,True
ADR0000198,CUS0000175,Registered,012 ถ.ทองแท้,อุบลราชธานี,พระนครศรีอยุธยา,99130,TH,True
ADR0000199,CUS0000176,Registered,09/96 ถนนหนุนสุข,ธนบุรี,กรุงเทพมหานคร,10540,TH,True
ADR0000200,CUS0000177,Registered,53 หมู่ 90 ถนนภูภักดี,สวนหลวง,กรุงเทพมหานคร,89350,TH,True
ADR0000201,CUS0000178,Registered,30/5 ถ.นิลสุวรรณ์,นครศรีธรรมราช,สมุทรปราการ,69430,TH,True
ADR0000202,CUS0000179,Registered,6/5 ถ.ถนัดหัตถกรรม,กรุงเทพมหานคร,พิษณุโลก,46470,TH,True
ADR0000203,CUS0000180,Registered,2 ถ.ตันเผ่า,แม่สอด,ระยอง,95220,TH,True
ADR0000204,CUS0000181,Registered,64 หมู่ 03 ถ.ฉัตรอภิเที่ยงค่ำ,สุราษฎร์ธานี,พระนครศรีอยุธยา,60960,TH,True
ADR0000205,CUS0000182,Registered,0 ถนนจ้อยนุแสง,ปากเกร็ด,ภูเก็ต,35840,TH,True
ADR0000206,CUS0000182,Mailing,10 หมู่ 83 ถ.นุตตาร,ภาษีเจริญ,กรุงเทพมหานคร,13500,TH,False
ADR0000207,CUS0000183,Registered,188/99 ถนนวาทา,ปากเกร็ด,ขอนแก่น,40170,TH,True
ADR0000208,CUS0000184,Registered,94 หมู่ 9 ถนนถมปัด,บางรัก,กรุงเทพมหานคร,42560,TH,True
ADR0000209,CUS0000185,Registered,09 ถนนถนิมมาศ,เชียงราย,พิษณุโลก,67430,TH,True
ADR0000210,CUS0000186,Registered,620 ถนนถนัดกลึง,จตุจักร,กรุงเทพมหานคร,40430,TH,True
ADR0000211,CUS0000186,Mailing,982/97 ถนนชุมวระ,ปากเกร็ด,ขอนแก่น,42630,TH,False
ADR0000212,CUS0000187,Registered,88 หมู่ 3 ถนนศรีสัตย์,พิษณุโลก,พิษณุโลก,23510,TH,True
ADR0000213,CUS0000188,Registered,9 ถนนวะคีมัน,นครราชสีมา,พระนครศรีอยุธยา,90270,TH,True
ADR0000214,CUS0000188,Mailing,724 ถนนนิลวรรณ,บางกะปิ,กรุงเทพมหานคร,67770,TH,False
ADR0000215,CUS0000189,Registered,67 หมู่ 58 ถนนศรีวงค์,รังสิต,ขอนแก่น,57410,TH,True
ADR0000216,CUS0000190,Registered,97/4 ซอยพงศ์ฉบับนภา,แม่สอด,พิษณุโลก,90870,TH,True
ADR0000217,CUS0000191,Registered,353/54 ถ.ตราชู,สกลนคร,พระนครศรีอยุธยา,86600,TH,True
ADR0000218,CUS0000191,Mailing,73 หมู่ 3 ถนนนิยมสำหรวจ,อุดรธานี,ลำปาง,10630,TH,False
ADR0000219,CUS0000192,Registered,290/79 ถนนไตรบรรพ,นครสวรรค์,สมุทรสาคร,40340,TH,True
ADR0000220,CUS0000193,Registered,661/7 ถนนถนัดอักษร,สาทร,กรุงเทพมหานคร,13810,TH,True
ADR0000221,CUS0000193,Mailing,85 หมู่ 54 ถนนเลขะพันธุ์,พิษณุโลก,ลำปาง,83410,TH,False
ADR0000222,CUS0000194,Registered,94 หมู่ 74 ถนนยะผา,ประเวศ,กรุงเทพมหานคร,76560,TH,True
