card_id,card_number_masked,customer_id,product_id,linked_account_id,card_type,issue_date,expiry_date,credit_limit_thb,current_outstanding_thb,status
CRD0000021,5107-XXXX-XXXX-9470,CUS0009735,PRD-CC01,,Credit,2025-01-10,2029-12-28,1093481.31,88531.35,Active
CRD0000022,5100-XXXX-XXXX-9159,CUS0003754,PRD-CC01,,Credit,2026-03-01,2029-06-20,71313.41,82923.07,Active
CRD0000023,5876-XXXX-XXXX-3577,CUS0005946,PRD-CC01,,Credit,2026-01-06,2029-08-26,575526.85,67333.53,Active
CRD0000024,4987-XXXX-XXXX-8699,CUS0000021,PRD-DC02,ACC00002401,Debit,2024-10-11,2026-06-15,0.0,0.0,Active
CRD0000025,5433-XXXX-XXXX-3458,CUS0007952,PRD-CC02,,Credit,2020-12-26,2030-06-20,1367501.24,150328.87,Active
CRD0000026,5252-XXXX-XXXX-5849,CUS0004475,PRD-DC02,ACC00010931,Debit,2025-07-08,2028-02-28,0.0,0.0,Active
CRD0000027,5959-XXXX-XXXX-3343,CUS0006171,PRD-DC01,,Debit,2025-11-23,2028-06-24,0.0,0.0,Active
CRD0000028,5184-XXXX-XXXX-5534,CUS0009452,PRD-CC01,,Credit,2020-01-14,2028-05-24,931607.2,68014.93,Active
CRD0000029,4289-XXXX-XXXX-9724,CUS0006988,PRD-CC04,,Credit,2020-12-06,2029-11-11,340917.07,176688.24,Active
CRD0000030,4615-XXXX-XXXX-3023,CUS0006792,PRD-CC01,,Credit,2025-01-24,2026-06-25,1007901.31,21043.77,Active
CRD0000031,4638-XXXX-XXXX-5180,CUS0006930,PRD-DC01,,Debit,2025-11-29,2026-11-17,0.0,0.0,Active
CRD0000032,4127-XXXX-XXXX-5625,CUS0008767,PRD-CC02,,Credit,2025-04-21,2030-04-05,103495.66,141773.29,Active
CRD0000033,4885-XXXX-XXXX-4891,CUS0006735,PRD-DC02,ACC00002789,Debit,2024-12-01,2028-10-21,0.0,0.0,Blocked
CRD0000034,5412-XXXX-XXXX-3027,CUS0008015,PRD-CC04,,Credit,2021-04-22,2030-11-21,838239.05,125108.71,Active
CRD0000035,5976-XXXX-XXXX-4108,CUS0005956,PRD-CC03,,Credit,2022-04-01,2027-01-15,803295.69,182907.15,Active
CRD0000036,4223-XXXX-XXXX-4925,CUS0000047,PRD-DC01,ACC00006106,Debit,2026-01-19,2026-09-08,0.0,0.0,Active
CRD0000037,5751-XXXX-XXXX-9052,CUS0008951,PRD-CC03,,Credit,2023-03-08,2029-04-09,174264.18,129227.03,Active
CRD0000038,5802-XXXX-XXXX-2141,CUS0007482,PRD-CC03,,Credit,2023-07-25,2028-05-22,1489642.59,20242.97,Active
CRD0000039,4412-XXXX-XXXX-9935,CUS0000796,PRD-CC01,,Credit,2023-05-18,2027-01-31,498433.26,37731.94,Active
CRD0000040,4890-XXXX-XXXX-1385,CUS0009990,PRD-CC01,,Credit,2023-11-30,2030-12-08,1249828.07,17421.71,Active
CRD0000041,4243-XXXX-XXXX-2543,CUS0002376,PRD-CC04,,Credit,2021-07-05,2027-01-06,444643.64,116283.69,Active
CRD0000042,5354-XXXX-XXXX-3390,CUS0008813,PRD-DC01,,Debit,2023-12-11,2027-10-10,0.0,0.0,Active
CRD0000043,5198-XXXX-XXXX-6541,CUS0000621,PRD-CC04,,Credit,2021-01-05,2027-12-28,393992.85,73516.95,Active
CRD0000044,4156-XXXX-XXXX-3439,CUS0006105,PRD-CC04,,Credit,2024-02-25,2028-01-02,146416.72,65346.37,Active
CRD0000045,5919-XXXX-XXXX-4115,CUS0002639,PRD-DC01,ACC00014608,Debit,2022-03-27,2026-06-27,0.0,0.0,Active
CRD0000046,5714-XXXX-XXXX-5162,CUS0004516,PRD-DC02,ACC00008195,Debit,2022-04-07,2027-05-10,0.0,0.0,Active
CRD0000047,5527-XXXX-XXXX-5723,CUS0002805,PRD-CC04,,Credit,2020-05-10,2028-09-17,1019905.69,2654.15,Active
CRD0000048,5253-XXXX-XXXX-7650,CUS0001577,PRD-CC04,,Credit,2020-09-20,2028-12-21,144608.24,24505.68,Active
CRD0000049,5705-XXXX-XXXX-3425,CUS0003215,PRD-DC02,ACC00007331,Debit,2022-03-10,2027-10-22,0.0,0.0,Active
CRD0000050,4391-XXXX-XXXX-4855,CUS0006311,PRD-CC02,,Credit,2024-07-20,2029-07-26,381270.84,17956.54,Active
CRD0000051,5703-XXXX-XXXX-1936,CUS0002002,PRD-CC04,,Credit,2025-04-01,2027-03-04,1183498.8,153669.47,Active
CRD0000052,5221-XXXX-XXXX-8147,CUS0002706,PRD-DC02,,Debit,2022-01-05,2030-05-18,0.0,0.0,Active
CRD0000053,4472-XXXX-XXXX-2427,CUS0003942,PRD-CC04,,Credit,2025-04-01,2030-04-20,830145.93,41962.14,Active
CRD0000054,4739-XXXX-XXXX-7282,CUS0004555,PRD-DC01,ACC00014904,Debit,2020-02-24,2028-06-01,0.0,0.0,Active
CRD0000055,5280-XXXX-XXXX-4799,CUS0003644,PRD-DC01,ACC00011889,Debit,2025-01-26,2029-09-29,0.0,0.0,Active
CRD0000056,5235-XXXX-XXXX-8724,CUS0009461,PRD-CC04,,Credit,2020-10-11,2028-03-20,874520.1,69860.44,Active
CRD0000057,5256-XXXX-XXXX-6100,CUS0006072,PRD-CC04,,Credit,2020-08-27,2030-08-29,465513.0,18197.31,Active
CRD0000058,4392-XXXX-XXXX-6105,CUS0001248,PRD-CC04,,Credit,2020-03-28,2030-12-29,990864.55,116713.88,Active
CRD0000059,4793-XXXX-XXXX-4293,CUS0005031,PRD-CC03,,Credit,2024-08-21,2028-05-24,922439.85,81489.48,Active
CRD0000060,4663-XXXX-XXXX-8953,CUS0002982,PRD-CC04,,Credit,2020-01-21,2030-02-23,1487217.44,182814.79,Active
CRD0000061,5419-XXXX-XXXX-3621,CUS0005312,PRD-DC02,ACC00017651,Debit,2026-03-06,2027-01-06,0.0,0.0,Active
CRD0000062,4209-XXXX-XXXX-5392,CUS0002028,PRD-CC02,,Credit,2021-09-15,2027-09-05,388940.43,190075.64,Active
CRD0000063,5578-XXXX-XXXX-6676,CUS0001492,PRD-CC04,,Credit,2022-04-12,2026-06-03,1400562.36,48377.51,Active
CRD0000064,5389-XXXX-XXXX-3724,CUS0004140,PRD-DC02,ACC00017177,Debit,2023-08-05,2029-04-25,0.0,0.0,Expired
CRD0000065,5459-XXXX-XXXX-8550,CUS0005121,PRD-CC04,,Credit,2023-09-02,2030-03-14,901185.38,8680.89,Active
CRD0000066,5165-XXXX-XXXX-7056,CUS0006656,PRD-CC01,,Credit,2020-05-02,2027-02-13,956512.62,124623.02,Active
CRD0000067,5245-XXXX-XXXX-5810,CUS0003248,PRD-DC01,ACC00005965,Debit,2025-06-03,2028-01-23,0.0,0.0,Active
CRD0000068,4461-XXXX-XXXX-2966,CUS0005472,PRD-CC04,,Credit,2024-09-11,2027-04-01,1222586.22,132109.97,Active
CRD0000069,4528-XXXX-XXXX-2482,CUS0001545,PRD-CC01,,Credit,2024-02-02,2027-07-10,772264.2,121554.39,Active
CRD0000070,5524-XXXX-XXXX-2627,CUS0001219,PRD-CC03,,Credit,2020-03-26,2028-01-17,522808.96,106267.96,Active
CRD0000071,5138-XXXX-XXXX-8283,CUS0008660,PRD-CC04,,Credit,2025-07-21,2029-09-02,1070798.11,591.53,Active
CRD0000072,4231-XXXX-XXXX-7534,CUS0005164,PRD-DC02,ACC00012352,Debit,2022-04-01,2026-10-07,0.0,0.0,Active
CRD0000073,4149-XXXX-XXXX-4392,CUS0006264,PRD-DC01,ACC00012604,Debit,2024-04-29,2028-05-26,0.0,0.0,Active
CRD0000074,5106-XXXX-XXXX-8427,CUS0007991,PRD-DC01,ACC00001012,Debit,2024-08-08,2028-11-08,0.0,0.0,Active
CRD0000075,4693-XXXX-XXXX-8524,CUS0000080,PRD-CC03,,Credit,2022-02-13,2027-12-22,22305.23,83737.57,Active
CRD0000076,4233-XXXX-XXXX-7557,CUS0008918,PRD-CC01,,Credit,2020-01-10,2029-12-10,689173.34,91257.04,Active
CRD0000077,5966-XXXX-XXXX-1252,CUS0000383,PRD-DC02,ACC00007406,Debit,2023-06-04,2028-03-22,0.0,0.0,Active
CRD0000078,5669-XXXX-XXXX-8070,CUS0008764,PRD-DC02,ACC00003149,Debit,2023-01-15,2029-06-04,0.0,0.0,Expired
CRD0000079,4850-XXXX-XXXX-1773,CUS0006325,PRD-CC02,,Credit,2024-10-16,2028-03-17,1381893.08,29309.72,Active
CRD0000080,5856-XXXX-XXXX-7221,CUS0001990,PRD-CC01,,Credit,2021-04-22,2027-06-05,874646.86,17198.44,Active
CRD0000081,4941-XXXX-XXXX-4314,CUS0007007,PRD-DC01,ACC00008190,Debit,2021-07-01,2030-08-07,0.0,0.0,Active
CRD0000082,5641-XXXX-XXXX-4822,CUS0004131,PRD-DC01,ACC00004634,Debit,2020-12-23,2027-06-19,0.0,0.0,Active
CRD0000083,4731-XXXX-XXXX-8666,CUS0005724,PRD-CC02,,Credit,2024-09-28,2026-05-16,1165842.77,77554.15,Active
CRD0000084,4110-XXXX-XXXX-7552,CUS0001099,PRD-CC04,,Credit,2023-01-22,2028-03-23,1479510.55,172448.55,Active
CRD0000085,4796-XXXX-XXXX-6605,CUS0006335,PRD-CC02,,Credit,2020-05-01,2029-10-30,1186871.17,2757.49,Active
CRD0000086,5452-XXXX-XXXX-4082,CUS0000733,PRD-DC01,ACC00015137,Debit,2020-09-06,2026-06-08,0.0,0.0,Active
CRD0000087,5286-XXXX-XXXX-5262,CUS0004836,PRD-DC02,ACC00008313,Debit,2024-10-05,2027-08-31,0.0,0.0,Active
CRD0000088,5941-XXXX-XXXX-6662,CUS0007740,PRD-CC02,,Credit,2023-06-23,2027-03-30,294484.13,155710.07,Active
CRD0000089,5156-XXXX-XXXX-2577,CUS0000421,PRD-DC02,ACC00010475,Debit,2023-09-14,2029-04-02,0.0,0.0,Active
CRD0000090,5556-XXXX-XXXX-5394,CUS0000068,PRD-CC02,,Credit,2024-10-24,2026-06-14,357352.5,153186.56,Active
CRD0000091,4630-XXXX-XXXX-2537,CUS0000346,PRD-CC01,,Credit,2023-10-04,2028-10-31,962653.93,75419.4,Active
CRD0000092,4376-XXXX-XXXX-1380,CUS0005865,PRD-CC03,,Credit,2021-11-13,2030-01-20,31871.84,161701.32,Active
CRD0000093,4276-XXXX-XXXX-3179,CUS0007150,PRD-CC01,,Credit,2020-03-10,2027-02-11,1079397.58,174860.62,Active
CRD0000094,5407-XXXX-XXXX-2812,CUS0004503,PRD-CC04,,Credit,2021-02-28,2029-01-05,588861.89,17029.08,Active
CRD0000095,5318-XXXX-XXXX-5128,CUS0003748,PRD-CC02,,Credit,2021-10-14,2028-06-17,568671.62,148764.56,Active
CRD0000096,5480-XXXX-XXXX-1598,CUS0000534,PRD-DC02,ACC00008598,Debit,2023-04-24,2029-03-19,0.0,0.0,Active
CRD0000097,4140-XXXX-XXXX-5087,CUS0004007,PRD-DC02,,Debit,2020-12-20,2028-03-06,0.0,0.0,Active
CRD0000098,5483-XXXX-XXXX-2066,CUS0008224,PRD-DC02,ACC00014419,Debit,2020-09-28,2030-10-13,0.0,0.0,Active
CRD0000099,4532-XXXX-XXXX-7995,CUS0005819,PRD-CC01,,Credit,2022-02-05,2028-03-26,1325717.29,137293.1,Active
CRD0000100,5169-XXXX-XXXX-3954,CUS0006934,PRD-DC01,ACC00009554,Debit,2023-04-16,2027-11-27,0.0,0.0,Active
CRD0000101,5613-XXXX-XXXX-1444,CUS0003708,PRD-CC03,,Credit,2025-04-01,2030-02-24,1161618.34,6803.68,Active
CRD0000102,5455-XXXX-XXXX-1853,CUS0008673,PRD-CC04,,Credit,2024-03-20,2028-05-10,585539.44,22939.15,Active
CRD0000103,4812-XXXX-XXXX-1793,CUS0005218,PRD-DC02,,Debit,2023-07-09,2027-11-21,0.0,0.0,Active
CRD0000104,5359-XXXX-XXXX-6052,CUS0006735,PRD-DC02,ACC00004518,Debit,2025-11-15,2029-05-19,0.0,0.0,Expired
CRD0000105,5849-XXXX-XXXX-1213,CUS0008449,PRD-CC01,,Credit,2025-03-31,2027-01-06,574229.42,71680.75,Active
CRD0000106,5815-XXXX-XXXX-6475,CUS0005076,PRD-CC01,,Credit,2024-09-26,2029-02-21,203765.16,86302.79,Active
CRD0000107,4858-XXXX-XXXX-2359,CUS0005611,PRD-CC04,,Credit,2020-11-10,2026-09-15,914433.26,6219.56,Active
CRD0000108,4103-XXXX-XXXX-9213,CUS0009040,PRD-CC03,,Credit,2024-05-08,2030-04-13,702015.71,887.92,Active
CRD0000109,4684-XXXX-XXXX-4087,CUS0007174,PRD-CC04,,Credit,2023-04-12,2030-11-20,801673.6,156268.36,Active
CRD0000110,4486-XXXX-XXXX-5784,CUS0006327,PRD-CC01,,Credit,2026-04-02,2027-11-08,140908.11,188446.99,Active
CRD0000111,5462-XXXX-XXXX-5148,CUS0007928,PRD-DC01,ACC00003914,Debit,2022-11-20,2030-03-11,0.0,0.0,Active
CRD0000112,4359-XXXX-XXXX-2963,CUS0009173,PRD-CC01,,Credit,2023-03-15,2027-07-15,1140908.38,33554.57,Expired
CRD0000113,5497-XXXX-XXXX-1588,CUS0002451,PRD-CC01,,Credit,2023-04-07,2030-04-22,1393858.77,109076.24,Active
CRD0000114,4476-XXXX-XXXX-8260,CUS0001835,PRD-CC01,,Credit,2023-05-19,2028-10-14,1441827.54,154531.24,Active
CRD0000115,5569-XXXX-XXXX-6358,CUS0008597,PRD-CC01,,Credit,2022-09-23,2029-11-03,1001759.83,36458.38,Active
CRD0000116,4252-XXXX-XXXX-7608,CUS0004134,PRD-CC04,,Credit,2023-01-19,2030-11-27,1417680.13,176561.95,Active
CRD0000117,5992-XXXX-XXXX-8850,CUS0000207,PRD-CC03,,Credit,2025-12-23,2029-10-16,1148357.32,117857.61,Active
CRD0000118,4571-XXXX-XXXX-8236,CUS0002553,PRD-CC01,,Credit,2020-07-06,2026-12-17,973531.89,14798.37,Active
CRD0000119,4884-XXXX-XXXX-9319,CUS0006057,PRD-CC04,,Credit,2024-04-08,2028-06-09,1232363.93,105631.37,Active
CRD0000120,5533-XXXX-XXXX-5254,CUS0005506,PRD-CC03,,Credit,2025-10-22,2026-05-11,356532.75,1313.82,Active
CRD0000121,4137-XXXX-XXXX-3452,CUS0008808,PRD-DC02,ACC00010220,Debit,2022-02-09,2027-02-14,0.0,0.0,Active
CRD0000122,5617-XXXX-XXXX-6988,CUS0006918,PRD-CC01,,Credit,2021-03-16,2029-08-15,1240308.18,131419.84,Active
CRD0000123,5779-XXXX-XXXX-7834,CUS0004407,PRD-DC02,ACC00004729,Debit,2023-08-06,2027-04-08,0.0,0.0,Active
CRD0000124,4786-XXXX-XXXX-1868,CUS0006989,PRD-CC02,,Credit,2025-01-28,2030-08-07,1029196.1,105182.03,Active
CRD0000125,4453-XXXX-XXXX-9442,CUS0009585,PRD-DC01,ACC00009177,Debit,2020-02-03,2029-08-16,0.0,0.0,Active
CRD0000126,5355-XXXX-XXXX-4413,CUS0009931,PRD-DC02,ACC00010097,Debit,2023-06-11,2028-07-25,0.0,0.0,Active
CRD0000127,4886-XXXX-XXXX-7717,CUS0003210,PRD-CC03,,Credit,2024-08-16,2026-08-13,165118.83,88386.96,Active
CRD0000128,4432-XXXX-XXXX-5592,CUS0000877,PRD-DC01,ACC00000313,Debit,2026-01-18,2029-05-25,0.0,0.0,Active
CRD0000129,4603-XXXX-XXXX-2581,CUS0003603,PRD-CC03,,Credit,2021-10-13,2027-11-13,1313353.03,131876.6,Active
CRD0000130,5175-XXXX-XXXX-6289,CUS0008190,PRD-CC01,,Credit,2020-11-25,2029-05-08,1211489.0,129631.89,Active
CRD0000131,4589-XXXX-XXXX-5653,CUS0000802,PRD-DC02,ACC00016509,Debit,2021-06-05,2028-10-01,0.0,0.0,Active
CRD0000132,4614-XXXX-XXXX-4746,CUS0000165,PRD-DC02,ACC00015973,Debit,2023-07-16,2027-09-23,0.0,0.0,Active
CRD0000133,4569-XXXX-XXXX-9362,CUS0000954,PRD-CC01,,Credit,2020-11-19,2028-08-09,340739.87,56813.21,Active
CRD0000134,4902-XXXX-XXXX-1954,CUS0003897,PRD-CC03,,Credit,2025-07-20,2028-10-07,1440489.08,156856.76,Blocked
CRD0000135,4516-XXXX-XXXX-8175,CUS0002042,PRD-CC01,,Credit,2021-03-23,2028-03-14,1488240.97,173985.78,Active
CRD0000136,4362-XXXX-XXXX-7634,CUS0005130,PRD-DC02,ACC00009308,Debit,2023-05-21,2026-08-27,0.0,0.0,Active
CRD0000137,4897-XXXX-XXXX-1643,CUS0000398,PRD-CC02,,Credit,2022-12-08,2029-10-03,915975.36,65253.14,Active
CRD0000138,5209-XXXX-XXXX-8998,CUS0003021,PRD-CC02,,Credit,2021-03-19,2028-07-20,730612.02,64674.63,Active
CRD0000139,4114-XXXX-XXXX-4095,CUS0009511,PRD-CC02,,Credit,2023-06-24,2027-04-21,1324344.91,105917.25,Active
CRD0000140,5429-XXXX-XXXX-7535,CUS0001988,PRD-DC01,ACC00007587,Debit,2022-01-16,2028-10-23,0.0,0.0,Active
CRD0000141,5575-XXXX-XXXX-6239,CUS0006683,PRD-DC01,ACC00015837,Debit,2024-09-03,2030-02-07,0.0,0.0,Active
CRD0000142,5392-XXXX-XXXX-4344,CUS0003012,PRD-DC01,ACC00000632,Debit,2022-03-29,2028-02-05,0.0,0.0,Active
CRD0000143,4510-XXXX-XXXX-2090,CUS0002155,PRD-CC01,,Credit,2020-03-15,2029-10-22,786277.59,197413.81,Active
CRD0000144,5797-XXXX-XXXX-4423,CUS0005469,PRD-CC01,,Credit,2025-01-01,2029-06-27,208569.36,155476.78,Expired
CRD0000145,5567-XXXX-XXXX-7448,CUS0004740,PRD-CC04,,Credit,2023-08-09,2030-03-24,894131.85,178169.94,Active
CRD0000146,5360-XXXX-XXXX-8859,CUS0008543,PRD-CC04,,Credit,2020-04-04,2027-11-29,179130.34,183589.16,Active
CRD0000147,4908-XXXX-XXXX-8464,CUS0000805,PRD-CC02,,Credit,2025-07-01,2028-08-18,529825.8,89820.04,Active
CRD0000148,5394-XXXX-XXXX-7883,CUS0001293,PRD-CC01,,Credit,2025-08-02,2028-08-08,448419.87,34799.91,Expired
CRD0000149,5786-XXXX-XXXX-5947,CUS0008903,PRD-DC02,ACC00008474,Debit,2023-01-09,2030-05-23,0.0,0.0,Active
CRD0000150,5451-XXXX-XXXX-4176,CUS0003110,PRD-CC03,,Credit,2020-02-12,2030-06-12,673100.05,196051.31,Active
CRD0000151,5710-XXXX-XXXX-6546,CUS0003904,PRD-DC02,ACC00000513,Debit,2023-02-09,2027-07-20,0.0,0.0,Active
CRD0000152,4516-XXXX-XXXX-6992,CUS0003183,PRD-CC01,,Credit,2026-01-12,2028-05-31,829828.94,54921.88,Active
CRD0000153,4797-XXXX-XXXX-7066,CUS0003174,PRD-DC02,ACC00004323,Debit,2023-12-12,2028-11-05,0.0,0.0,Active
CRD0000154,4972-XXXX-XXXX-8479,CUS0007700,PRD-DC02,ACC00014670,Debit,2024-03-14,2030-05-15,0.0,0.0,Active
CRD0000155,5444-XXXX-XXXX-2881,CUS0001816,PRD-DC02,ACC00005635,Debit,2022-07-08,2030-12-17,0.0,0.0,Active
CRD0000156,4711-XXXX-XXXX-2018,CUS0002979,PRD-CC01,,Credit,2026-04-21,2026-11-15,666685.75,48431.35,Active
CRD0000157,5356-XXXX-XXXX-3140,CUS0005183,PRD-CC03,,Credit,2021-11-25,2030-06-04,1226986.39,68491.52,Active
CRD0000158,4867-XXXX-XXXX-3744,CUS0009540,PRD-CC04,,Credit,2023-10-12,2027-03-21,710507.62,12559.93,Active
CRD0000159,4891-XXXX-XXXX-2207,CUS0000498,PRD-CC04,,Credit,2022-04-30,2028-06-22,566847.77,1505.16,Active
CRD0000160,4605-XXXX-XXXX-5917,CUS0006305,PRD-CC03,,Credit,2026-03-21,2027-05-10,118735.33,195863.07,Active
CRD0000161,4652-XXXX-XXXX-9203,CUS0005490,PRD-CC03,,Credit,2025-04-03,2028-12-05,235101.73,89533.03,Active
CRD0000162,4836-XXXX-XXXX-7827,CUS0006230,PRD-DC01,ACC00002369,Debit,2023-12-14,2028-02-03,0.0,0.0,Active
CRD0000163,5223-XXXX-XXXX-8806,CUS0003671,PRD-CC04,,Credit,2023-08-19,2029-04-12,526464.98,82620.67,Active
CRD0000164,4546-XXXX-XXXX-2082,CUS0003937,PRD-CC03,,Credit,2025-01-31,2028-08-21,1231798.76,22137.12,Active
CRD0000165,5289-XXXX-XXXX-6523,CUS0007349,PRD-CC04,,Credit,2020-04-16,2028-05-30,537173.07,135616.03,Active
CRD0000166,4124-XXXX-XXXX-3740,CUS0007721,PRD-CC04,,Credit,2025-12-19,2028-04-06,1052595.01,133457.76,Active
CRD0000167,5992-XXXX-XXXX-1031,CUS0007149,PRD-DC01,ACC00016771,Debit,2025-10-14,2029-05-10,0.0,0.0,Active
CRD0000168,4440-XXXX-XXXX-3285,CUS0001686,PRD-CC02,,Credit,2022-09-10,2026-06-04,1156246.83,135889.31,Active
CRD0000169,5279-XXXX-XXXX-2715,CUS0008777,PRD-CC04,,Credit,2021-05-06,2026-05-19,904053.49,54259.71,Blocked
CRD0000170,4773-XXXX-XXXX-3135,CUS0005894,PRD-DC02,ACC00012766,Debit,2020-09-26,2026-12-17,0.0,0.0,Active
CRD0000171,5706-XXXX-XXXX-1663,CUS0003256,PRD-DC01,ACC00002411,Debit,2020-09-17,2028-04-25,0.0,0.0,Active
CRD0000172,4792-XXXX-XXXX-6535,CUS0007197,PRD-DC02,ACC00002552,Debit,2021-04-12,2027-08-04,0.0,0.0,Active
CRD0000173,4549-XXXX-XXXX-6005,CUS0005909,PRD-DC01,,Debit,2023-04-20,2029-01-01,0.0,0.0,Blocked
CRD0000174,5224-XXXX-XXXX-6663,CUS0003503,PRD-DC02,ACC00005586,Debit,2020-05-10,2027-02-18,0.0,0.0,Active
CRD0000175,5604-XXXX-XXXX-2995,CUS0008101,PRD-CC03,,Credit,2025-10-27,2029-04-07,1465171.55,143832.24,Active
CRD0000176,5996-XXXX-XXXX-2991,CUS0004821,PRD-CC03,,Credit,2023-07-28,2026-08-16,432619.93,175177.63,Active
CRD0000177,4655-XXXX-XXXX-7915,CUS0004179,PRD-DC01,ACC00015379,Debit,2024-09-14,2026-06-18,0.0,0.0,Active
CRD0000178,4271-XXXX-XXXX-2128,CUS0007943,PRD-DC01,ACC00012300,Debit,2021-06-01,2028-04-21,0.0,0.0,Blocked
CRD0000179,4670-XXXX-XXXX-3225,CUS0001174,PRD-DC01,ACC00011089,Debit,2023-06-13,2027-09-03,0.0,0.0,Active
CRD0000180,4266-XXXX-XXXX-1575,CUS0007249,PRD-DC01,,Debit,2023-09-16,2027-12-17,0.0,0.0,Active
CRD0000181,5599-XXXX-XXXX-2480,CUS0007261,PRD-CC03,,Credit,2023-01-02,2026-11-12,415543.88,96918.39,Active
CRD0000182,5831-XXXX-XXXX-2689,CUS0009505,PRD-CC02,,Credit,2025-12-25,2030-10-09,1354740.25,197489.89,Active
CRD0000183,5171-XXXX-XXXX-8653,CUS0002871,PRD-CC02,,Credit,2025-03-26,2026-07-23,69141.63,177310.45,Active
CRD0000184,4353-XXXX-XXXX-1895,CUS0006374,PRD-CC04,,Credit,2024-12-06,2029-11-26,147177.63,181969.8,Active
CRD0000185,5923-XXXX-XXXX-1915,CUS0004280,PRD-CC04,,Credit,2024-07-02,2028-08-20,209812.04,10997.32,Active
CRD0000186,5117-XXXX-XXXX-9276,CUS0002980,PRD-DC01,ACC00007076,Debit,2020-06-18,2029-08-08,0.0,0.0,Active
CRD0000187,5605-XXXX-XXXX-7404,CUS0007371,PRD-CC01,,Credit,2021-07-26,2029-08-10,997330.39,108026.65,Active
CRD0000188,5948-XXXX-XXXX-8517,CUS0006885,PRD-CC03,,Credit,2022-11-28,2028-02-25,477064.37,199370.74,Active
CRD0000189,4475-XXXX-XXXX-6549,CUS0002839,PRD-DC02,ACC00013537,Debit,2021-01-13,2030-09-09,0.0,0.0,Active
CRD0000190,5514-XXXX-XXXX-3979,CUS0006693,PRD-DC01,ACC00017649,Debit,2024-02-07,2030-09-15,0.0,0.0,Active
CRD0000191,5128-XXXX-XXXX-8364,CUS0009001,PRD-DC01,ACC00013011,Debit,2025-05-03,2028-02-10,0.0,0.0,Active
CRD0000192,4808-XXXX-XXXX-1124,CUS0007751,PRD-DC02,ACC00011158,Debit,2024-06-10,2028-10-30,0.0,0.0,Active
CRD0000193,4423-XXXX-XXXX-7913,CUS0002938,PRD-CC02,,Credit,2020-11-09,2027-03-28,860471.69,63421.99,Active
CRD0000194,5372-XXXX-XXXX-3509,CUS0001312,PRD-CC01,,Credit,2024-11-21,2028-09-19,679439.11,103943.77,Active
