customer_id,national_id,first_name,last_name,full_name,gender,date_of_birth,marital_status,occupation,monthly_income_thb,preferred_language,onboarding_date,is_active
CUS0000018,1-8359-21243-67-1,สิทธิชัย,เวียงจันทึก,สิทธิชัย เวียงจันทึก,M,1990-11-14,Single,ฟรีแลนซ์,50773.14,TH,2021-11-26,True
CUS0000019,8-2836-90665-26-4,พัชรพร,ไตรบรรพ,พัชรพร ไตรบรรพ,M,1959-09-15,Widowed,พนักงานธนาคาร,1045531.59,TH,2021-03-17,True
CUS0000020,8-7697-96008-74-4,รชตกร,เดชคุ้ม,รชตกร เดชคุ้ม,M,2001-05-10,Single,วิศวกร,74959.95,TH,2022-12-09,True
CUS0000021,2-5270-13954-49-8,พันเทพ,ถนัดการเขียน,พันเทพ ถนัดการเขียน,M,2001-11-01,Widowed,นักบัญชี,674416.72,TH,2023-12-27,True
CUS0000022,1-7481-97514-10-1,หลี,ซาซุม,หลี ซาซุม,M,1991-01-30,Single,พนักงานธนาคาร,1237317.5,TH,2018-10-04,True
CUS0000023,5-9633-51434-98-8,สุกฤษตา,ทับทิมไทย,สุกฤษตา ทับทิมไทย,F,1987-08-23,Single,พยาบาล,57601.68,TH,2021-11-21,True
CUS0000024,1-6895-33805-76-5,พงษ์นเรศ,ธนประทีป,พงษ์นเรศ ธนประทีป,M,1963-03-02,Widowed,ครู / อาจารย์,36013.68,TH,2020-04-30,True
CUS0000025,8-1968-30239-89-1,ถนอมชัย,ซูสารอ,ถนอมชัย ซูสารอ,M,1985-02-07,Widowed,ครู / อาจารย์,735688.94,EN,2025-04-02,True
CUS0000026,5-3013-42876-85-2,ปัณณธร,นพตระกูล,ปัณณธร นพตระกูล,F,1998-11-17,Divorced,นักบัญชี,243327.12,TH,2023-08-25,True
CUS0000027,1-1187-15921-44-1,ตอฮา,วิลาสินี,ตอฮา วิลาสินี,M,1964-04-01,Divorced,แพทย์,17334.94,TH,2025-09-24,True
CUS0000028,6-1268-48734-38-2,วีรชัย,ตัณฑนุช,วีรชัย ตัณฑนุช,M,1979-12-17,Divorced,นักเรียน / นักศึกษา,24646.95,TH,2024-12-06,True
CUS0000029,5-5218-32280-66-7,คมสัน,ศรีอุ่น,คมสัน ศรีอุ่น,M,1967-09-08,Divorced,เกษตรกร,77513.81,TH,2023-04-13,True
CUS0000030,6-8588-95884-12-4,สรรเพชญ์,เจริญรัมย์,สรรเพชญ์ เจริญรัมย์,M,1980-04-12,Widowed,เกษียณ,679306.68,TH,2018-08-17,True
CUS0000031,6-6426-15927-23-0,จักรกฤนาย,ทองอยู่,จักรกฤนาย ทองอยู่,M,1950-11-01,Married,ข้าราชการ,49707.56,TH,2022-08-01,True
CUS0000032,5-1741-14099-50-4,กิติชัย,บุญศล,กิติชัย บุญศล,M,1981-06-08,Married,ค้าขาย / เจ้าของกิจการ,29489.86,TH,2025-09-25,True
CUS0000033,4-6581-91694-92-4,ยศวัฒน์,นิลสุวรรณ์,ยศวัฒน์ นิลสุวรรณ์,M,1982-09-07,Widowed,ค้าขาย / เจ้าของกิจการ,1292934.56,TH,2025-06-04,True
CUS0000034,1-3041-86708-39-8,สัญชาน,หนุนสุข,สัญชาน หนุนสุข,M,1964-06-28,Single,นักบัญชี,33772.1,TH,2019-09-08,True
CUS0000035,4-5995-50227-72-0,สิรวัฒน์,ทันยุค,สิรวัฒน์ ทันยุค,M,1977-08-04,Widowed,แพทย์,1058657.55,TH,2021-03-07,True
CUS0000036,1-5079-87158-57-0,ดิลก,สังข์กรด,ดิลก สังข์กรด,M,1974-01-09,Widowed,พนักงานธนาคาร,41448.74,TH,2018-09-09,True
CUS0000037,4-9221-21703-51-9,ทัตธน,ดุษฎีวนิช,ทัตธน ดุษฎีวนิช,M,1995-04-21,Divorced,พยาบาล,70165.41,TH,2026-03-31,True
CUS0000038,2-2902-53802-12-0,สุธาวี,ทองอยู่,สุธาวี ทองอยู่,F,1995-04-26,Married,นักบัญชี,168214.0,TH,2018-10-22,True
CUS0000039,7-3779-76809-60-9,กระสุน,ธัญาโภชน์,กระสุน ธัญาโภชน์,M,2002-08-24,Divorced,พยาบาล,69155.23,TH,2021-09-20,True
CUS0000040,6-8224-48593-37-9,ยุลิน,ดวงทับทิม,ยุลิน ดวงทับทิม,F,1998-09-27,Widowed,นักบัญชี,795587.97,TH,2023-08-19,True
CUS0000041,8-3173-91977-97-3,สหัสมณี,หอมสิน,สหัสมณี หอมสิน,F,1984-08-18,Single,ฟรีแลนซ์,18639.12,TH,2019-10-20,True
CUS0000042,8-5150-81529-40-1,พรพิไล,ทวนไชย์,พรพิไล ทวนไชย์,F,1987-03-25,Married,ค้าขาย / เจ้าของกิจการ,56115.64,TH,2020-07-21,True
CUS0000043,3-6193-35119-39-2,จิตรลดา,นกทอง,จิตรลดา นกทอง,F,1980-12-11,Widowed,ฟรีแลนซ์,157858.16,TH,2025-08-03,True
CUS0000044,5-8715-50349-85-3,ชลิดา,เลิศกิ่ง,ชลิดา เลิศกิ่ง,F,1951-09-25,Divorced,นักบัญชี,196368.31,TH,2021-12-11,True
CUS0000045,1-7273-78855-13-1,อรพิณ,ศาสตร์ศิลป์,อรพิณ ศาสตร์ศิลป์,F,1999-12-09,Divorced,ฟรีแลนซ์,1282292.95,TH,2021-08-26,True
CUS0000046,3-3432-29326-33-8,ฐิติกุล,จ้อยนุแสง,ฐิติกุล จ้อยนุแสง,F,1979-03-24,Single,เกษตรกร,17238.14,TH,2020-11-06,True
CUS0000047,2-9225-20739-60-7,จุฑาภรณ์,ตั้งเผ่า,จุฑาภรณ์ ตั้งเผ่า,F,1962-11-08,Married,นักบัญชี,156394.94,TH,2019-02-26,True
CUS0000048,3-8936-35247-22-4,เนตรฤดี,โพธิสัตย์,เนตรฤดี โพธิสัตย์,F,1958-04-15,Divorced,ฟรีแลนซ์,1294169.08,TH,2020-10-22,True
CUS0000049,5-1693-98309-24-8,จิณภัทตา,ตั้งกุลงาม,จิณภัทตา ตั้งกุลงาม,F,1976-02-16,Widowed,ค้าขาย / เจ้าของกิจการ,33878.58,TH,2022-11-02,True
CUS0000050,8-1144-79281-19-9,อธิตยา,สังข์กรด,อธิตยา สังข์กรด,F,1984-11-16,Single,ครู / อาจารย์,37525.09,TH,2018-04-01,True
CUS0000051,1-7277-54452-98-3,อรพิณ,ถนัดเดินข่าว,อรพิณ ถนัดเดินข่าว,F,2005-10-21,Single,ฟรีแลนซ์,872690.36,TH,2019-09-30,True
CUS0000052,4-1156-22701-62-9,ตรีนุช,เนตร์มณี,ตรีนุช เนตร์มณี,F,2004-07-15,Divorced,ข้าราชการ,31583.19,EN,2023-01-03,True
CUS0000053,4-2495-21525-92-2,จันทนา,ยาปะโลหิต,จันทนา ยาปะโลหิต,F,1987-10-10,Divorced,เกษตรกร,62071.19,TH,2023-01-30,False
CUS0000054,7-9461-73788-26-7,วาสุเทพ,นุตตาร,วาสุเทพ นุตตาร,M,1982-09-26,Divorced,ค้าขาย / เจ้าของกิจการ,18882.61,TH,2024-07-31,True
CUS0000055,6-8103-50296-11-4,ฉัตรปรียา,นุตตาร,ฉัตรปรียา นุตตาร,F,1954-05-17,Widowed,นักบัญชี,487304.18,TH,2023-06-14,True
CUS0000056,2-6089-35495-70-1,คมกริบ,นักรบ,คมกริบ นักรบ,M,1971-04-02,Single,ฟรีแลนซ์,67609.38,TH,2020-07-09,True
CUS0000057,6-8832-99299-91-6,จักรกฤนาย,ขุนดำ,จักรกฤนาย ขุนดำ,M,1992-04-24,Married,นักบัญชี,34782.14,TH,2019-08-25,True
CUS0000058,3-1143-26809-64-5,สุมัชญา,ตรีครุธพันธุ์,สุมัชญา ตรีครุธพันธุ์,F,1965-08-27,Married,ครู / อาจารย์,39308.29,TH,2021-09-21,True
CUS0000059,4-4855-68551-60-8,ณปภัช,เนตร์มณี,ณปภัช เนตร์มณี,M,1981-06-12,Widowed,นักบัญชี,34399.72,TH,2021-01-12,True
CUS0000060,3-2966-78649-47-7,เชิงชาย,ตรีเภรินทร์,เชิงชาย ตรีเภรินทร์,M,1997-01-19,Married,พยาบาล,32186.75,TH,2022-10-26,True
CUS0000061,4-3542-38307-53-6,เพชรมณี,นะวะมันดร,เพชรมณี นะวะมันดร,F,2005-05-06,Single,ฟรีแลนซ์,1083254.18,TH,2025-10-20,True
CUS0000062,8-8197-62048-27-5,ประภัทร์สรณ์,ดาวกระจาย,ประภัทร์สรณ์ ดาวกระจาย,F,1998-03-25,Divorced,พนักงานบริษัท,1112818.75,TH,2024-06-27,True
CUS0000063,4-9189-88433-98-2,จันทภา,วิลาสินี,จันทภา วิลาสินี,F,1956-07-31,Divorced,แพทย์,160981.3,TH,2020-03-25,True
CUS0000064,1-1446-53186-36-9,ดวงสมร,ศรีสัตย์,ดวงสมร ศรีสัตย์,F,1999-08-24,Divorced,พนักงานบริษัท,82353.82,EN,2020-10-17,True
CUS0000065,7-5297-87605-67-8,พิชญ์สินี,ทองประดิฐ,พิชญ์สินี ทองประดิฐ,F,1989-10-09,Married,วิศวกร,659316.37,TH,2019-09-01,True
CUS0000066,6-6713-83190-44-6,โกมล,ผลบุญ,โกมล ผลบุญ,M,1967-07-18,Married,นักบัญชี,398784.21,TH,2023-02-28,True
CUS0000067,2-6417-55808-43-6,บุญนพ,นาถะพินธุ,บุญนพ นาถะพินธุ,M,2003-02-21,Widowed,พนักงานบริษัท,910424.89,TH,2024-06-06,True
CUS0000068,6-3318-78032-62-6,ปรายกานต์,ตรีครุธพันธุ์,ปรายกานต์ ตรีครุธพันธุ์,M,1998-10-16,Widowed,พนักงานบริษัท,155829.5,EN,2018-02-08,True
CUS0000069,4-8162-53638-60-9,ศุภาศิล,บุนยาภิสนท์,ศุภาศิล บุนยาภิสนท์,M,1964-07-02,Divorced,พนักงานบริษัท,1382943.03,TH,2018-03-26,True
CUS0000070,1-2334-51059-57-0,เจตพินิษฐ์,ขันธุลา,เจตพินิษฐ์ ขันธุลา,M,1994-06-30,Divorced,ค้าขาย / เจ้าของกิจการ,1265508.3,TH,2023-07-03,True
CUS0000071,7-3954-67896-88-0,วรรณชนะชัย,ธรรมสถิตไพศาล,วรรณชนะชัย ธรรมสถิตไพศาล,M,1952-09-01,Single,พยาบาล,86910.83,EN,2022-08-06,True
CUS0000072,7-4059-70883-56-3,อับดุลเลาะห์,ไทยแท้,อับดุลเลาะห์ ไทยแท้,M,1981-08-11,Divorced,พนักงานธนาคาร,1037669.34,TH,2024-12-27,True
CUS0000073,8-9534-42264-32-5,ชัชเวศย์,วิลาสินี,ชัชเวศย์ วิลาสินี,M,1957-09-23,Widowed,เกษียณ,22698.0,EN,2021-05-29,True
CUS0000074,7-4459-76046-76-4,ชนิศา,ถมปัด,ชนิศา ถมปัด,F,2001-03-07,Married,ข้าราชการ,32774.33,TH,2021-09-01,True
CUS0000075,7-8598-52463-52-2,วิชชากร,ตัณสถิตย์,วิชชากร ตัณสถิตย์,M,1987-05-01,Married,แพทย์,77244.24,EN,2019-09-12,True
CUS0000076,5-7412-51990-71-4,นิภา,ธรรมฤดี,นิภา ธรรมฤดี,F,1956-03-05,Widowed,เกษียณ,186604.48,TH,2018-06-30,True
CUS0000077,6-3453-57395-74-6,ไพสิฐ,แหยมศิริ,ไพสิฐ แหยมศิริ,M,1988-03-14,Married,ครู / อาจารย์,177553.27,TH,2022-01-18,True
CUS0000078,2-9154-43909-43-9,สุทธิณัฐ,พรรษาสกุล,สุทธิณัฐ พรรษาสกุล,M,1963-09-12,Divorced,นักบัญชี,33428.7,TH,2026-04-04,True
CUS0000079,3-4075-51284-86-4,อชิตะวีร์,ตัณฑนุช,อชิตะวีร์ ตัณฑนุช,M,1991-09-02,Divorced,ข้าราชการ,777582.78,TH,2023-03-24,True
CUS0000080,7-1900-54230-12-4,ลักษมี,ถนัดรบ,ลักษมี ถนัดรบ,F,1953-07-05,Divorced,นักเรียน / นักศึกษา,79452.96,TH,2022-07-28,True
CUS0000081,5-2575-98921-79-0,ฐิตาพร,ทุมะบุตร์,ฐิตาพร ทุมะบุตร์,F,1996-12-05,Divorced,พนักงานธนาคาร,25607.4,TH,2022-07-30,True
CUS0000082,5-8063-27919-49-1,ผดุงชาติ,ทันยุค,ผดุงชาติ ทันยุค,M,1990-08-09,Single,พนักงานธนาคาร,190124.0,TH,2022-12-21,True
CUS0000083,7-3695-85357-35-6,วรรณรัตน์,ถนิมมาศ,วรรณรัตน์ ถนิมมาศ,F,1954-07-02,Married,ค้าขาย / เจ้าของกิจการ,56841.75,TH,2024-11-04,True
CUS0000084,5-8267-10343-16-7,จักรีรัตน์,ดาบเงิน,จักรีรัตน์ ดาบเงิน,F,1986-12-06,Widowed,พยาบาล,27313.39,TH,2020-12-21,True
CUS0000085,8-5937-55701-91-4,ดารุนี,ตันตราจิณ,ดารุนี ตันตราจิณ,F,1958-03-19,Single,ครู / อาจารย์,32997.6,TH,2018-03-16,True
CUS0000086,3-6595-37694-50-5,หลักทรัพย์,แก้วชลคราม,หลักทรัพย์ แก้วชลคราม,M,1968-07-25,Divorced,เกษียณ,91670.02,TH,2023-02-16,True
CUS0000087,6-6106-72367-43-6,ภัคศุภางค์,บุนยะตีรณะ,ภัคศุภางค์ บุนยะตีรณะ,F,1982-09-30,Widowed,วิศวกร,37909.02,EN,2025-10-26,True
CUS0000088,8-3509-86669-49-1,กษิดิฐ,ทองลาภ,กษิดิฐ ทองลาภ,M,1972-08-20,Single,ค้าขาย / เจ้าของกิจการ,63827.2,TH,2021-06-14,True
CUS0000089,5-1163-39882-83-2,วาร์มูฮำหมัด,มิ่งขวัญ,วาร์มูฮำหมัด มิ่งขวัญ,M,2000-04-19,Widowed,ฟรีแลนซ์,26625.26,TH,2022-03-25,True
CUS0000090,6-6334-42596-10-2,พีรภัทร์,ศรีตะวัน,พีรภัทร์ ศรีตะวัน,F,1998-08-29,Single,วิศวกร,74513.47,EN,2018-05-30,True
CUS0000091,4-1953-67534-17-1,พิศพรรณ,จันอ้น,พิศพรรณ จันอ้น,F,1982-08-31,Widowed,ค้าขาย / เจ้าของกิจการ,36529.99,TH,2025-12-11,True
CUS0000092,1-6922-71345-19-0,รูไกยะฮ์,ธาราธร,รูไกยะฮ์ ธาราธร,F,1976-04-16,Married,นักบัญชี,78222.39,TH,2019-03-20,True
CUS0000093,6-2800-65514-63-0,คำปลิว,คำลือ,คำปลิว คำลือ,M,1997-12-05,Divorced,วิศวกร,82165.22,TH,2024-06-22,True
CUS0000094,8-5895-34959-28-6,พรเบญญา,ตะละภัฏ,พรเบญญา ตะละภัฏ,F,1967-07-31,Single,แพทย์,1372121.72,TH,2023-04-17,True
CUS0000095,5-8934-38166-77-4,ทานตะวัน,ถนอมพล,ทานตะวัน ถนอมพล,F,1961-10-16,Widowed,พนักงานบริษัท,275448.74,TH,2022-02-15,True
CUS0000096,2-2168-63695-74-6,ปิยวดี,ทัศนสุทธิ,ปิยวดี ทัศนสุทธิ,F,1967-09-27,Widowed,เกษตรกร,136257.32,TH,2022-07-30,True
CUS0000097,3-1405-65430-26-2,กองสิน,ติระคมน์,กองสิน ติระคมน์,F,1965-08-28,Divorced,นักบัญชี,1397350.98,TH,2024-05-22,True
CUS0000098,3-1995-51756-79-7,วรศาสส์,ดาตู,วรศาสส์ ดาตู,M,1982-10-12,Divorced,ฟรีแลนซ์,910116.52,TH,2020-11-22,True
CUS0000099,4-8735-31887-39-1,วาสุเทพ,บุตราช,วาสุเทพ บุตราช,M,1996-05-14,Single,เกษตรกร,15446.89,TH,2026-03-31,True
CUS0000100,8-9329-53328-39-1,กิ่งแก้ว,ถาวรรัตน,กิ่งแก้ว ถาวรรัตน,F,1951-02-16,Married,ข้าราชการ,24826.51,TH,2020-12-23,True
CUS0000101,5-6640-45280-30-4,ทองสิริ,ถนอมมนุษย์,ทองสิริ ถนอมมนุษย์,F,1963-09-05,Widowed,ค้าขาย / เจ้าของกิจการ,18937.12,TH,2018-08-13,True
CUS0000102,5-4213-70631-60-3,ปิยะชาติ,ทุมะบุตร์,ปิยะชาติ ทุมะบุตร์,F,1953-04-24,Married,นักบัญชี,21608.88,TH,2022-08-03,True
CUS0000103,4-9494-65608-55-2,พันเกล้า,ทวนไชย์,พันเกล้า ทวนไชย์,F,1978-03-27,Divorced,ข้าราชการ,36360.2,TH,2025-02-16,True
CUS0000104,7-6583-28940-88-7,สุมัชญา,ดาวอร่าม,สุมัชญา ดาวอร่าม,F,1960-03-19,Single,พนักงานบริษัท,39752.7,TH,2024-05-23,True
CUS0000105,6-7571-54139-48-3,วาร์มูฮำหมัด,ชุมวระ,วาร์มูฮำหมัด ชุมวระ,M,2000-10-18,Married,พนักงานธนาคาร,26079.27,EN,2019-09-13,True
CUS0000106,8-6113-64806-10-3,ราณี,ถนอมพล,ราณี ถนอมพล,F,1982-01-12,Divorced,เกษียณ,135582.69,TH,2024-09-20,True
CUS0000107,1-6199-43996-25-0,ธีร์ธวันาย,แท่นทอง,ธีร์ธวันาย แท่นทอง,M,1951-09-03,Single,ครู / อาจารย์,166562.45,TH,2022-10-15,True
CUS0000108,2-4071-42877-36-3,อัครพนธ์,ขำเอนก,อัครพนธ์ ขำเอนก,M,1965-12-19,Married,เกษตรกร,71999.47,TH,2018-04-10,True
CUS0000109,8-2390-60978-70-6,คมกริบ,ภูภักดี,คมกริบ ภูภักดี,M,1992-03-07,Single,นักบัญชี,89445.79,TH,2022-03-07,True
CUS0000110,1-2697-37063-94-6,บุญเกิด,ดัตพันธุ์,บุญเกิด ดัตพันธุ์,M,1960-05-17,Single,เกษียณ,29577.76,TH,2018-11-27,True
CUS0000111,5-3671-99526-40-9,อัครพนธ์,ธูปะวิโรจน์,อัครพนธ์ ธูปะวิโรจน์,M,1957-07-04,Married,พนักงานบริษัท,59424.13,TH,2022-10-29,True
CUS0000112,2-8971-45070-36-4,ลักษมี,ดุษฎีวนิช,ลักษมี ดุษฎีวนิช,F,1955-06-11,Widowed,นักบัญชี,89925.98,TH,2023-06-11,True
CUS0000113,2-6204-60575-73-3,จีรยุทธ,ตระกูลบุญ,จีรยุทธ ตระกูลบุญ,M,1965-07-27,Married,นักบัญชี,188060.57,TH,2020-04-06,True
CUS0000114,6-9539-14563-70-7,ธัชญา,นิยมเซียม,ธัชญา นิยมเซียม,F,1950-08-21,Divorced,พนักงานธนาคาร,644768.86,TH,2018-06-24,True
CUS0000115,3-1109-15111-33-4,สิริกานต์,ชำนาญวาด,สิริกานต์ ชำนาญวาด,F,1979-11-05,Married,ข้าราชการ,73731.68,TH,2022-06-02,True
CUS0000116,5-3917-78109-58-3,พัชรีนิษฐ์,ธนูปกรณ์,พัชรีนิษฐ์ ธนูปกรณ์,F,1956-03-14,Divorced,ค้าขาย / เจ้าของกิจการ,32679.32,TH,2024-11-12,True
CUS0000117,7-2511-91195-22-1,หลักทรัพย์,บัวเผื่อน,หลักทรัพย์ บัวเผื่อน,M,1980-05-28,Single,พยาบาล,41161.29,TH,2023-06-15,True
CUS0000118,7-5606-28101-59-1,ดวงพร,ตัณสถิตย์,ดวงพร ตัณสถิตย์,F,1976-07-30,Widowed,นักเรียน / นักศึกษา,57198.68,TH,2021-09-22,True
CUS0000119,1-3909-66913-58-3,สุรนีย์,นวลฉวี,สุรนีย์ นวลฉวี,F,1975-11-26,Married,พนักงานบริษัท,21105.46,TH,2021-09-04,True
CUS0000120,8-8787-27792-86-1,สุทธิพจน์,ถนัดการเขียน,สุทธิพจน์ ถนัดการเขียน,M,1972-06-26,Single,วิศวกร,1144308.1,TH,2023-08-12,True
CUS0000121,5-9219-58680-17-5,โยธิการ์,แจ้งสว่าง,โยธิการ์ แจ้งสว่าง,F,1979-10-08,Divorced,เกษตรกร,122224.75,TH,2022-10-16,True
CUS0000122,5-7547-77391-26-4,ภูมิปัญญา,ไม้แดง,ภูมิปัญญา ไม้แดง,M,1956-03-06,Married,แพทย์,56314.06,TH,2021-03-30,True
CUS0000123,3-6179-48473-66-9,ดารุนี,ไทนิยม,ดารุนี ไทนิยม,F,2003-10-15,Single,นักเรียน / นักศึกษา,903683.28,TH,2025-09-05,True
CUS0000124,7-9606-69677-67-8,ณภัทร,ดีตพันธุ์,ณภัทร ดีตพันธุ์,F,1990-05-17,Divorced,นักเรียน / นักศึกษา,22230.91,TH,2018-09-23,True
CUS0000125,6-1334-35669-51-1,ณัฐวรินทร,ทรัพย์ธำรงค์,ณัฐวรินทร ทรัพย์ธำรงค์,F,1969-04-23,Divorced,เกษตรกร,15398.81,EN,2021-01-10,True
CUS0000126,2-1409-94145-13-6,กระสุน,นาคพันธุ์,กระสุน นาคพันธุ์,M,1965-01-01,Single,ฟรีแลนซ์,133416.64,TH,2020-10-24,True
CUS0000127,1-9287-52529-90-7,ซุกรี,ทีฆะ,ซุกรี ทีฆะ,M,1977-04-23,Married,วิศวกร,16524.28,TH,2018-02-03,True
CUS0000128,3-9270-71145-78-7,โชคภาดล,ถ้วนศรี,โชคภาดล ถ้วนศรี,M,2000-05-18,Divorced,ค้าขาย / เจ้าของกิจการ,47132.23,TH,2020-11-10,True
CUS0000129,1-8083-56690-70-8,สุภาพร,ถนัดอาวุธ,สุภาพร ถนัดอาวุธ,F,1955-09-26,Widowed,นักเรียน / นักศึกษา,24437.72,TH,2020-01-08,True
CUS0000130,2-7347-32701-88-2,ณิชนันท์,นพตระกูล,ณิชนันท์ นพตระกูล,F,1951-02-22,Married,เกษตรกร,131624.82,TH,2025-02-17,True
CUS0000131,8-2951-26278-54-5,จรรยพร,แท่นทอง,จรรยพร แท่นทอง,F,1957-01-20,Divorced,วิศวกร,38050.5,TH,2023-11-28,True
CUS0000132,7-3709-22448-44-3,อธิตยา,แก้วอยู่,อธิตยา แก้วอยู่,F,1984-03-09,Divorced,ฟรีแลนซ์,89389.43,TH,2023-03-16,True
CUS0000133,5-3357-42134-30-7,ปรายกานต์,ถิรสวัสดิ์,ปรายกานต์ ถิรสวัสดิ์,M,1981-03-05,Divorced,พนักงานบริษัท,38757.28,TH,2023-03-25,False
CUS0000134,1-5112-45998-58-6,สิทธิชัย,เขียวขุ้ย,สิทธิชัย เขียวขุ้ย,M,1976-02-23,Widowed,ค้าขาย / เจ้าของกิจการ,858945.48,TH,2022-06-10,True
CUS0000135,6-3571-78757-36-0,นารดา,ยางสวย,นารดา ยางสวย,F,1969-11-05,Widowed,นักบัญชี,19850.13,TH,2024-02-18,True
CUS0000136,3-9491-41554-43-8,โสภณ,วุฑฒยากร,โสภณ วุฑฒยากร,M,1964-11-16,Single,นักบัญชี,267466.43,TH,2020-12-11,True
CUS0000137,5-8738-68268-41-3,ราชัน,ทองอยู่,ราชัน ทองอยู่,M,1994-07-15,Married,ครู / อาจารย์,1215777.18,TH,2019-02-09,True
CUS0000138,4-4327-14072-50-9,พรชีวิน,มิ่งขวัญ,พรชีวิน มิ่งขวัญ,F,2005-03-07,Widowed,วิศวกร,82125.41,TH,2018-01-03,False
CUS0000139,2-6644-97922-33-1,มารีนี,ศรีตะวัน,มารีนี ศรีตะวัน,F,2000-06-28,Widowed,แพทย์,28300.63,TH,2023-05-15,True
CUS0000140,7-7814-69205-81-2,เจตธนากร,ถนัดรักษา,เจตธนากร ถนัดรักษา,M,1976-06-28,Married,ครู / อาจารย์,27502.62,TH,2021-02-04,True
CUS0000141,7-8927-78436-95-4,พัสวี,วะคีมัน,พัสวี วะคีมัน,F,1996-04-25,Widowed,นักบัญชี,27807.37,TH,2018-08-18,True
CUS0000142,4-8552-28130-85-3,ไวพจน์,มนทอง,ไวพจน์ มนทอง,M,1986-10-10,Widowed,แพทย์,59399.35,TH,2020-10-11,False
CUS0000143,4-8379-52610-77-2,ปิยวดี,ไทไชโย,ปิยวดี ไทไชโย,F,1954-08-19,Divorced,ค้าขาย / เจ้าของกิจการ,186966.16,TH,2023-09-02,True
CUS0000144,7-9692-80183-65-3,ธราวิทญ์,นุ่มกัน,ธราวิทญ์ นุ่มกัน,M,2001-02-04,Single,วิศวกร,579574.07,TH,2025-03-05,True
CUS0000145,2-1806-84479-90-6,จรรยพร,นิยมธรรม,จรรยพร นิยมธรรม,F,1997-10-07,Single,เกษียณ,30170.9,EN,2025-05-13,True
CUS0000146,2-8393-67410-83-4,อรรจน์,สันตะวงศ์,อรรจน์ สันตะวงศ์,M,1988-04-08,Married,วิศวกร,56629.17,TH,2018-11-05,True
