lead_id,lead_source,customer_id,lead_full_name,phone,email,interested_product_id,owner_employee_id,status,created_at,score
LED000046,Referral,,อำไพ บุตดา,0813436499,patelpamela@example.org,PRD-DG02,EMP00463,Qualified,2025-06-17T09:56:00,92
LED000047,Cold Call,CUS0004502,,0628351553,thomasalvarez@example.net,PRD-LN02,EMP00268,Disqualified,2025-02-28T21:00:00,11
LED000048,Branch Walk-in,,ธราวิทญ์ ยาปะโลหิต,0685099599,cynthia50@example.net,PRD-SAV01,EMP00485,New,2025-03-25T16:00:00,90
LED000049,Cold Call,CUS0005009,,0931970146,williamsvictor@example.net,PRD-LN01,EMP00026,Contacted,2026-04-29T04:01:00,4
LED000050,Partner,CUS0001251,,0948633298,bakerjanice@example.net,PRD-DG01,EMP00350,New,2025-01-13T01:51:00,34
LED000051,Cold Call,CUS0003214,,0691404121,lisa33@example.com,PRD-SAV02,EMP00086,Disqualified,2025-01-06T13:36:00,34
LED000052,Referral,,คมคาย นิลวรรณ,0862101604,hjohnson@example.net,PRD-DC02,EMP00315,Qualified,2025-02-20T04:18:00,43
LED000053,Web Form,CUS0000840,,0881849859,brentclark@example.com,PRD-DC02,EMP00136,Converted,2025-07-11T00:38:00,15
LED000054,Cold Call,CUS0002511,,0622610757,tflores@example.net,PRD-LN03,EMP00411,Qualified,2025-09-21T03:22:00,77
LED000055,Referral,CUS0000616,,0867027012,sydneymitchell@example.net,PRD-IN02,EMP00057,Converted,2025-04-17T10:03:00,78
LED000056,Partner,CUS0005346,,0819775720,charles37@example.net,PRD-LN01,EMP00157,Contacted,2025-07-02T07:14:00,5
LED000057,Partner,,วสิตา เดชวา,0614077700,larrykrueger@example.net,PRD-DC02,EMP00250,Contacted,2026-01-31T10:50:00,20
LED000058,Web Form,CUS0007995,,0964631130,jamesnunez@example.org,PRD-SAV01,EMP00469,Converted,2025-08-07T16:47:00,17
LED000059,Cold Call,CUS0004237,,0965661731,bdavis@example.com,PRD-WL04,EMP00218,New,2025-12-19T02:20:00,68
LED000060,Web Form,CUS0005221,,0617854847,taylor93@example.org,PRD-LN01,EMP00445,Disqualified,2025-02-06T05:27:00,97
LED000061,Partner,,พรสวรรค์ นฤทุกข์,0834410452,frazierlindsay@example.org,PRD-DG01,EMP00460,Contacted,2026-01-25T07:04:00,34
LED000062,Partner,,ไชยภพ บุญศล,0677805390,yware@example.org,PRD-SAV01,EMP00351,Converted,2025-06-10T03:29:00,92
LED000063,Partner,CUS0001854,,0936355118,jasonschmitt@example.org,PRD-FD03,EMP00181,Disqualified,2025-01-07T10:47:00,15
LED000064,Referral,CUS0000412,,0687680610,orrkrystal@example.org,PRD-FD01,EMP00320,Qualified,2025-09-29T18:55:00,56
LED000065,Web Form,,สมเกียรติ ทองเนื้อดี,0848692085,hudsonjennifer@example.net,PRD-WL04,EMP00287,Converted,2025-02-03T22:47:00,21
LED000066,Referral,CUS0004812,,0892476716,hrivera@example.com,PRD-SAV02,EMP00356,Disqualified,2025-06-01T23:30:00,94
LED000067,Campaign,,ประสิทธิ์ ตั้งกุลงาม,0670468880,abutler@example.net,PRD-DC02,EMP00375,Qualified,2026-02-23T01:30:00,91
LED000068,Campaign,CUS0000319,,0846936382,debra84@example.com,PRD-CC02,EMP00496,Qualified,2025-08-21T20:14:00,29
LED000069,Web Form,,ทินพร ตัณฑนุช,0662262189,keithbradley@example.net,PRD-SAL01,EMP00280,Qualified,2026-04-17T10:42:00,24
LED000070,Web Form,CUS0007083,,0942945144,andrewstravis@example.net,PRD-DC02,EMP00394,Disqualified,2025-07-07T11:17:00,51
LED000071,Cold Call,CUS0008052,,0611865743,melissa34@example.org,PRD-WL04,EMP00084,Converted,2025-04-30T01:41:00,25
LED000072,Branch Walk-in,,เอกชัย ไตรบรรพ,0811208546,louis47@example.org,PRD-DC01,EMP00432,Qualified,2025-10-04T12:31:00,25
LED000073,Referral,CUS0005834,,0891683377,parroyo@example.net,PRD-DG01,EMP00460,Disqualified,2025-07-19T08:24:00,67
LED000074,Branch Walk-in,,ฐิตาพร พานเกล้า,0997339681,marktaylor@example.org,PRD-DG02,EMP00489,Qualified,2025-04-13T11:43:00,74
LED000075,Referral,CUS0008700,,0999517647,dillonlisa@example.net,PRD-CC02,EMP00156,New,2025-07-16T16:14:00,29
LED000076,Partner,,รักชนก แนวพนิช,0976707458,millerannette@example.com,PRD-IN01,EMP00456,Converted,2025-05-22T10:19:00,54
LED000077,Cold Call,CUS0007973,,0851821367,clinejacob@example.org,PRD-SAL01,EMP00179,Converted,2025-09-11T14:27:00,66
LED000078,Cold Call,,พันเกล้า ปรีชากุลเศรษฐ์,0659977854,lindsayflowers@example.com,PRD-CC04,EMP00489,Qualified,2025-08-06T13:42:00,75
LED000079,Branch Walk-in,CUS0009020,,0681133388,uwells@example.com,PRD-SAL01,EMP00205,Qualified,2025-12-17T22:11:00,40
LED000080,Cold Call,,ปิยวัจน์ ฉัพพรรณธนกูร,0926605148,nrobinson@example.net,PRD-DG02,EMP00342,Disqualified,2025-12-22T02:44:00,3
LED000081,Campaign,,นภนต์ นาคสุทิน,0957482783,rachelyoung@example.org,PRD-DC02,EMP00464,Converted,2026-01-30T12:40:00,85
LED000082,Campaign,CUS0002729,,0693115415,richard94@example.org,PRD-SAV01,EMP00126,Converted,2026-02-05T00:55:00,48
LED000083,Cold Call,CUS0009761,,0834547676,vpatrick@example.org,PRD-CC01,EMP00110,Disqualified,2026-03-02T20:14:00,98
LED000084,Branch Walk-in,CUS0009034,,0848853746,callahanstanley@example.com,PRD-CUR01,EMP00207,Disqualified,2026-03-05T19:15:00,37
LED000085,Branch Walk-in,CUS0008574,,0976401044,gbutler@example.com,PRD-LN01,EMP00483,Qualified,2025-03-09T09:16:00,89
LED000086,Branch Walk-in,CUS0005907,,0998724319,normandavid@example.net,PRD-SAL01,EMP00347,Converted,2026-04-21T18:15:00,38
LED000087,Cold Call,,สโรชา ถ้วนศรี,0978193598,michele65@example.com,PRD-LN03,EMP00381,Converted,2026-03-05T09:40:00,70
LED000088,Web Form,CUS0004559,,0834834746,dawn06@example.org,PRD-DC02,EMP00242,Contacted,2025-10-23T09:40:00,27
LED000089,Partner,CUS0001802,,0883861899,lisabowman@example.net,PRD-DC02,EMP00303,New,2026-02-02T10:18:00,48
LED000090,Branch Walk-in,,ภานุวัตร งามพิเชษฐ์,0930234190,valdezhelen@example.org,PRD-CC01,EMP00395,Converted,2026-03-31T03:37:00,48
LED000091,Branch Walk-in,CUS0009833,,0915902204,jennifer75@example.org,PRD-CC01,EMP00290,Contacted,2026-02-27T08:41:00,69
LED000092,Branch Walk-in,,พันเทพ บุตดา,0945557799,fmarshall@example.net,PRD-FD03,EMP00103,New,2026-01-31T17:40:00,28
LED000093,Cold Call,,ฤทธิ์ชกร นาคสุทิน,0810949396,upace@example.org,PRD-WL01,EMP00069,Converted,2025-09-15T16:44:00,31
LED000094,Partner,CUS0000853,,0860645369,avilasydney@example.net,PRD-LN02,EMP00271,Converted,2025-08-27T22:17:00,34
LED000095,Web Form,,อเนชา ธรรมฤดี,0618996644,andrewnelson@example.com,PRD-FD02,EMP00194,Disqualified,2025-03-05T19:01:00,15
LED000096,Campaign,,พีรพัฒน์ นิติสาขา,0823804209,jeffery37@example.org,PRD-CUR01,EMP00149,Qualified,2025-11-23T18:55:00,54
LED000097,Partner,,วีระโชติ ถนอมมนุษย์,0814500241,carolynrodriguez@example.net,PRD-LN02,EMP00274,Contacted,2026-04-27T19:35:00,64
LED000098,Web Form,,เมษา ถ้วนศรี,0922599883,yolanda97@example.org,PRD-DC01,EMP00236,Qualified,2025-10-31T08:17:00,16
LED000099,Campaign,,รักชนก ศรทอง,0876515049,millerjames@example.com,PRD-SAV02,EMP00288,Contacted,2025-10-24T17:48:00,41
LED000100,Branch Walk-in,CUS0007058,,0669045665,johnmitchell@example.com,PRD-LN02,EMP00230,Qualified,2025-09-08T16:00:00,55
LED000101,Cold Call,CUS0001663,,0878465968,anna31@example.com,PRD-LN03,EMP00081,Disqualified,2025-02-04T23:46:00,10
LED000102,Campaign,,ภูมิปัญญา นากกนก,0624622927,sarahnelson@example.org,PRD-DG01,EMP00473,New,2026-03-24T03:27:00,82
LED000103,Partner,CUS0009021,,0881781970,cody60@example.com,PRD-CC01,EMP00128,Converted,2026-02-09T02:42:00,47
LED000104,Branch Walk-in,CUS0003757,,0689978144,donald16@example.org,PRD-FD03,EMP00451,New,2025-03-13T21:39:00,54
LED000105,Cold Call,CUS0005214,,0998251698,torresdiana@example.com,PRD-IN01,EMP00295,Converted,2025-01-12T11:47:00,73
LED000106,Branch Walk-in,CUS0002726,,0631213986,sheila14@example.org,PRD-WL03,EMP00019,Disqualified,2025-01-01T15:47:00,50
LED000107,Referral,,เกริกพล ถนัดรักษา,0989246444,brian26@example.org,PRD-LN01,EMP00183,Disqualified,2025-06-15T17:56:00,92
LED000108,Branch Walk-in,,สุชิน ถะเกิงชศ,0893171873,hughesalexandra@example.net,PRD-DC02,EMP00379,Disqualified,2025-03-31T13:48:00,22
LED000109,Branch Walk-in,CUS0009940,,0956476951,alexandra16@example.net,PRD-CC02,EMP00160,Contacted,2025-11-02T13:19:00,49
LED000110,Partner,,เจษฎากร เดชคุ้ม,0821966540,awhite@example.net,PRD-WL04,EMP00153,Disqualified,2025-03-31T08:30:00,11
LED000111,Partner,CUS0000576,,0899456601,matthew70@example.com,PRD-CC01,EMP00303,Disqualified,2025-10-13T14:04:00,23
LED000112,Branch Walk-in,CUS0006235,,0658228666,delgadomarissa@example.net,PRD-LN03,EMP00253,Converted,2025-01-16T16:47:00,60
LED000113,Referral,CUS0006605,,0861658211,medinajacob@example.net,PRD-CUR01,EMP00130,Qualified,2026-03-09T05:04:00,22
LED000114,Cold Call,,สราญจิตต์ มนทอง,0862910830,erikmartin@example.com,PRD-WL01,EMP00122,Qualified,2026-02-23T01:43:00,22
LED000115,Web Form,,สิรวัฒน์ ตระกูลบุญ,0973016796,thomasamy@example.org,PRD-CC04,EMP00371,Converted,2026-02-18T23:46:00,97
LED000116,Web Form,CUS0003925,,0898742014,veronica29@example.net,PRD-LN04,EMP00282,Contacted,2026-04-07T07:25:00,6
LED000117,Campaign,,ปัญญาพร คำลือ,0862032443,john48@example.org,PRD-LN01,EMP00326,Disqualified,2026-03-03T02:41:00,28
LED000118,Web Form,CUS0004979,,0669500413,cheryl44@example.org,PRD-SAV02,EMP00138,Contacted,2025-09-12T22:40:00,35
LED000119,Partner,CUS0002007,,0836152290,cantujose@example.net,PRD-FD03,EMP00188,New,2026-03-24T19:39:00,38
LED000120,Cold Call,CUS0002835,,0676492893,charles45@example.net,PRD-IN01,EMP00082,Converted,2025-12-21T00:57:00,30
LED000121,Referral,CUS0002229,,0678953992,umendoza@example.net,PRD-SAL01,EMP00382,New,2025-06-22T04:43:00,1
LED000122,Branch Walk-in,,จิราภรณ์ พีระเพ็ญกุล,0960898219,taylorjessica@example.org,PRD-SAL01,EMP00371,Converted,2025-05-21T07:05:00,89
LED000123,Partner,CUS0009921,,0652053959,afisher@example.org,PRD-SAV01,EMP00302,Disqualified,2025-09-28T20:48:00,29
LED000124,Partner,,เอกชัย ตันตราจิณ,0930332318,taylortoni@example.net,PRD-CC03,EMP00264,Qualified,2025-12-04T05:15:00,80
LED000125,Web Form,CUS0009876,,0693962807,edwardhoward@example.net,PRD-CC03,EMP00058,Qualified,2025-07-10T18:31:00,51
LED000126,Campaign,CUS0008035,,0912010075,jmiller@example.org,PRD-WL02,EMP00046,Disqualified,2025-11-28T20:13:00,59
LED000127,Cold Call,CUS0002713,,0874535640,stephenjohnston@example.org,PRD-FD03,EMP00376,Disqualified,2025-04-21T18:26:00,53
LED000128,Branch Walk-in,CUS0001908,,0837890570,wellschristopher@example.net,PRD-WL01,EMP00238,Contacted,2025-05-09T23:08:00,59
LED000129,Cold Call,CUS0003808,,0636712554,taylormary@example.com,PRD-SAV02,EMP00391,Qualified,2025-12-27T14:47:00,6
LED000130,Referral,CUS0000526,,0821497269,tara51@example.net,PRD-FD02,EMP00393,New,2025-07-13T08:24:00,37
LED000131,Web Form,,อาซือมะ บุนยะตีรณะ,0916094397,jacksoncristina@example.org,PRD-IN01,EMP00316,Contacted,2025-07-04T05:29:00,57
LED000132,Branch Walk-in,,นนทกาญจน์ ถนัดหัตถกรรม,0634918138,smartin@example.org,PRD-WL01,EMP00380,Converted,2025-11-11T10:04:00,42
LED000133,Web Form,CUS0000126,,0952217102,andrew97@example.net,PRD-CC02,EMP00039,New,2026-03-07T19:31:00,86
LED000134,Branch Walk-in,CUS0003843,,0980776308,jeffreymichael@example.org,PRD-LN03,EMP00001,Converted,2026-03-02T10:01:00,29
LED000135,Campaign,CUS0000849,,0670561650,frances05@example.com,PRD-IN01,EMP00147,Converted,2025-05-23T20:44:00,89
LED000136,Campaign,CUS0009131,,0635750751,alexis55@example.org,PRD-WL03,EMP00409,Disqualified,2026-03-07T11:34:00,97
LED000137,Partner,,เกียรติก้อง ทหารแท้,0834458410,taylorjonathan@example.net,PRD-WL01,EMP00201,New,2026-02-12T12:22:00,33
LED000138,Referral,CUS0007207,,0660143363,caitlyn55@example.net,PRD-FD02,EMP00303,Converted,2025-06-21T16:53:00,80
LED000139,Branch Walk-in,CUS0009732,,0962126825,browngeorge@example.org,PRD-DC01,EMP00424,Disqualified,2025-09-30T01:08:00,25
LED000140,Referral,CUS0004929,,0619476270,awolfe@example.org,PRD-FD02,EMP00217,Converted,2025-06-11T09:31:00,95
LED000141,Referral,CUS0001183,,0873362051,mnorris@example.net,PRD-FD03,EMP00416,Disqualified,2025-03-23T08:55:00,22
LED000142,Cold Call,CUS0005374,,0840095045,duanegriffin@example.com,PRD-FD02,EMP00267,Qualified,2026-01-04T18:37:00,94
LED000143,Partner,CUS0004993,,0819706013,mfisher@example.com,PRD-FD01,EMP00110,Qualified,2025-11-07T01:13:00,53
LED000144,Referral,,นิมุ นิยมสำหรวจ,0992602141,taraharrington@example.org,PRD-LN04,EMP00233,Contacted,2025-08-25T21:53:00,65
LED000145,Branch Walk-in,,เมทนี นวลฉวี,0666900155,benjaminphillips@example.net,PRD-LN02,EMP00288,New,2025-07-01T03:59:00,68
LED000146,Campaign,,สุภาลินี ตวงทอง,0818491619,lori66@example.com,PRD-LN02,EMP00170,Converted,2025-03-04T07:09:00,88
LED000147,Referral,CUS0000902,,0819340916,kwilliams@example.net,PRD-WL01,EMP00478,Disqualified,2026-03-07T18:58:00,54
LED000148,Web Form,CUS0002985,,0936920093,dylansimon@example.com,PRD-DC02,EMP00142,New,2025-07-14T21:11:00,25
LED000149,Partner,CUS0004045,,0853943459,taylorryan@example.org,PRD-WL04,EMP00438,Converted,2025-12-08T13:06:00,43
LED000150,Partner,CUS0006311,,0677171705,cherylhernandez@example.net,PRD-IN02,EMP00016,Contacted,2025-11-01T17:31:00,32
LED000151,Cold Call,CUS0007512,,0681677923,singletonryan@example.org,PRD-FD02,EMP00072,Qualified,2025-01-10T22:42:00,25
LED000152,Cold Call,CUS0004349,,0829601613,clarkkelly@example.net,PRD-CC01,EMP00219,New,2025-01-01T13:08:00,8
LED000153,Branch Walk-in,,จิฬาภรณ์ ธนรักษ์,0890120736,brittany10@example.net,PRD-DC01,EMP00106,Disqualified,2025-03-23T08:04:00,76
LED000154,Branch Walk-in,,ศิริญา น้ำทิพย์,0698950107,ryandavis@example.net,PRD-WL01,EMP00438,New,2025-11-13T07:48:00,92
LED000155,Branch Walk-in,,อัครพนธ์ ติณรัตน์,0811143111,kevinthomas@example.com,PRD-DC02,EMP00192,Qualified,2026-01-08T18:46:00,73
LED000156,Partner,,นภนต์ ดาบเพ็ชร์,0977150759,barbara37@example.com,PRD-LN02,EMP00405,Disqualified,2025-11-04T20:49:00,57
LED000157,Web Form,,ทองสิริ ธีวร,0638376349,brooke54@example.org,PRD-DC01,EMP00400,Contacted,2026-03-25T16:17:00,64
LED000158,Partner,CUS0007639,,0821217367,melinda90@example.org,PRD-DG01,EMP00023,Contacted,2025-06-24T03:00:00,57
LED000159,Web Form,CUS0004591,,0653355602,michaelwilliams@example.net,PRD-CC02,EMP00170,New,2025-11-15T02:15:00,13
LED000160,Web Form,CUS0002343,,0645238021,warrenvanessa@example.org,PRD-LN04,EMP00257,Contacted,2025-04-21T17:42:00,58
LED000161,Partner,CUS0003623,,0898673317,christina78@example.com,PRD-CC03,EMP00230,New,2026-01-07T16:29:00,19
LED000162,Partner,,พันธุ์เทพ ธรรมฤดี,0916739174,anthonygarcia@example.net,PRD-IN02,EMP00219,Contacted,2025-11-10T09:01:00,26
LED000163,Partner,CUS0004019,,0615290860,elijah73@example.net,PRD-CC04,EMP00218,Contacted,2025-10-13T14:19:00,43
LED000164,Cold Call,,บุญนพ ดวงทับทิม,0858410848,harmonjustin@example.net,PRD-FD02,EMP00349,Converted,2025-06-25T11:12:00,3
LED000165,Web Form,CUS0005180,,0945688584,whines@example.net,PRD-CC04,EMP00302,Contacted,2025-03-03T15:20:00,86
LED000166,Partner,CUS0002605,,0879043751,teresa80@example.net,PRD-DG02,EMP00128,Converted,2026-01-22T00:10:00,57
LED000167,Campaign,,มะสูเกียน นฤภัย,0855277119,william18@example.com,PRD-LN03,EMP00175,Qualified,2025-03-20T10:47:00,10
LED000168,Web Form,,น้ำเพชร ซาซุม,0842809263,jeremy76@example.org,PRD-CUR01,EMP00273,Disqualified,2025-07-16T04:26:00,3
LED000169,Cold Call,CUS0009826,,0850525613,daviscorey@example.net,PRD-SAV01,EMP00466,Disqualified,2025-06-12T17:08:00,15
LED000170,Campaign,CUS0005112,,0929036429,stephanie24@example.org,PRD-LN01,EMP00272,Converted,2025-03-11T10:12:00,16
LED000171,Partner,,เจษฎากร นิษประปัญจ์,0834311515,holderharold@example.org,PRD-LN03,EMP00071,Disqualified,2025-02-06T04:59:00,17
LED000172,Referral,CUS0004717,,0652008625,margaretyoung@example.org,PRD-CC03,EMP00436,Contacted,2025-04-22T05:47:00,38
LED000173,Web Form,CUS0003075,,0630702078,brownjoseph@example.com,PRD-FD01,EMP00391,New,2026-03-30T18:55:00,37
LED000174,Partner,,ผดุงพล ทองเนื้อดี,0628256087,lopeztony@example.net,PRD-SAV01,EMP00407,New,2025-01-22T04:02:00,32
LED000175,Branch Walk-in,,พิศพรรณ ยาปะโลหิต,0928442152,jchapman@example.net,PRD-LN04,EMP00466,Converted,2025-05-03T04:39:00,81
LED000176,Web Form,CUS0000726,,0958481028,erin32@example.com,PRD-CUR01,EMP00074,Qualified,2026-03-15T00:08:00,71
LED000177,Web Form,CUS0001966,,0666899826,courtney61@example.net,PRD-FD01,EMP00170,New,2025-06-21T02:03:00,32
LED000178,Cold Call,,สิรวัฒน์ นิละทัต,0812615628,tbrown@example.org,PRD-FD02,EMP00083,Qualified,2026-03-08T15:50:00,63
LED000179,Referral,CUS0008278,,0863743819,andrewgutierrez@example.com,PRD-SAV02,EMP00300,New,2026-04-22T17:45:00,41
LED000180,Web Form,,ธัชญา ทรัพย์สาร,0888081644,valerie13@example.com,PRD-LN02,EMP00334,New,2026-02-08T03:50:00,43
LED000181,Referral,,พชรภรณ์ ถ้วนศรี,0869765591,adrianmarsh@example.com,PRD-CC04,EMP00168,Converted,2026-04-01T04:51:00,59
LED000182,Cold Call,CUS0003526,,0941965868,pcummings@example.net,PRD-DC01,EMP00369,Contacted,2026-04-26T17:14:00,40
LED000183,Cold Call,CUS0003685,,0977762592,grahambrittany@example.com,PRD-WL02,EMP00415,Disqualified,2025-09-13T00:44:00,73
LED000184,Campaign,CUS0004242,,0849515911,alee@example.org,PRD-FD01,EMP00363,Disqualified,2026-04-16T09:49:00,42
LED000185,Branch Walk-in,CUS0005618,,0855018172,dustinmccann@example.org,PRD-CC02,EMP00137,Disqualified,2025-09-12T13:32:00,51
LED000186,Branch Walk-in,CUS0000751,,0959578844,wrightsarah@example.org,PRD-LN03,EMP00311,Qualified,2026-03-17T18:39:00,10
LED000187,Cold Call,,อาซือมะ ภูภักดี,0814895079,jennifer95@example.com,PRD-SAV01,EMP00072,Qualified,2025-02-04T11:49:00,37
LED000188,Campaign,CUS0000386,,0642115382,erin66@example.net,PRD-FD03,EMP00483,Disqualified,2026-01-06T08:08:00,28
LED000189,Campaign,,นัสรุน วาทา,0696319846,teresaflynn@example.com,PRD-FD03,EMP00196,Converted,2025-07-24T12:56:00,61
LED000190,Branch Walk-in,CUS0001478,,0623167284,jasonbowers@example.org,PRD-DG02,EMP00152,New,2025-07-09T09:27:00,13
LED000191,Campaign,CUS0004079,,0614572389,hpope@example.org,PRD-WL03,EMP00081,Qualified,2025-09-07T04:09:00,98
LED000192,Campaign,CUS0007519,,0876451329,julieyoung@example.com,PRD-LN02,EMP00272,Converted,2025-07-14T00:39:00,42
LED000193,Campaign,,ธีริสรา ไชยภา,0932731736,rebeccagutierrez@example.com,PRD-WL03,EMP00321,Contacted,2025-06-30T13:41:00,25
LED000194,Web Form,CUS0009625,,0623611896,elizabethturner@example.org,PRD-CC02,EMP00076,Disqualified,2026-02-24T10:15:00,33
LED000195,Branch Walk-in,CUS0003065,,0994637549,vstewart@example.org,PRD-CC01,EMP00338,New,2025-09-09T04:55:00,98
