account_id,account_number,primary_customer_id,product_id,branch_id,open_date,currency,current_balance_thb,available_balance_thb,status
ACC00000058,746-6-55702-7,CUS0004282,PRD-SAV02,BR0017,2020-04-18,THB,193020.56,189160.15,Active
ACC00000059,988-1-89215-2,CUS0004317,PRD-CUR01,BR0003,2018-04-05,THB,23024.43,22563.94,Active
ACC00000060,554-6-43234-4,CUS0000792,PRD-SAL01,BR0001,2023-11-28,THB,33905.79,33227.67,Active
ACC00000061,527-0-67051-6,CUS0004810,PRD-SAV01,BR0031,2024-06-30,THB,5929.86,5811.26,Active
ACC00000062,966-5-99984-7,CUS0009987,PRD-CUR01,BR0048,2020-10-14,THB,103156.87,101093.73,Active
ACC00000063,808-6-16572-4,CUS0002491,PRD-CUR01,BR0003,2022-07-18,THB,7615.39,7463.08,Active
ACC00000064,387-4-59782-2,CUS0003277,PRD-SAV02,BR0034,2021-01-16,THB,1242870.32,1218012.91,Dormant
ACC00000065,326-7-80133-3,CUS0003343,PRD-SAL01,BR0031,2019-05-27,THB,49969.68,48970.29,Active
ACC00000066,421-5-70527-9,CUS0006522,PRD-CUR01,BR0038,2024-10-03,THB,1130584.47,1107972.78,Active
ACC00000067,645-4-53191-9,CUS0001687,PRD-SAL01,BR0024,2025-12-15,THB,19930.36,19531.75,Active
ACC00000068,427-3-92756-8,CUS0000749,PRD-SAV02,BR0016,2019-07-24,THB,65914.53,64596.24,Dormant
ACC00000069,779-7-59432-5,CUS0008741,PRD-SAV02,BR0036,2025-01-05,THB,1681398.46,1647770.49,Active
ACC00000070,919-0-58627-8,CUS0007512,PRD-SAL01,BR0048,2023-07-20,THB,97553.04,95601.98,Active
ACC00000071,231-7-88185-9,CUS0006166,PRD-CUR01,BR0047,2024-11-21,THB,12718.4,12464.03,Active
ACC00000072,956-1-62200-2,CUS0000525,PRD-SAV02,BR0045,2020-01-21,THB,17606.77,17254.63,Active
ACC00000073,613-5-15294-6,CUS0002611,PRD-CUR01,BR0014,2024-10-10,THB,31887.27,31249.52,Active
ACC00000074,510-1-39035-5,CUS0008634,PRD-SAV01,BR0015,2022-03-06,THB,60293.56,59087.69,Active
ACC00000075,789-8-99682-5,CUS0004810,PRD-CUR01,BR0010,2025-02-07,THB,199198.56,195214.59,Dormant
ACC00000076,283-8-12856-0,CUS0007743,PRD-CUR01,BR0016,2021-07-17,THB,598497.48,586527.53,Active
ACC00000077,613-4-75049-9,CUS0007330,PRD-CUR01,BR0048,2020-03-16,THB,363887.97,356610.21,Active
ACC00000078,915-4-86165-5,CUS0002929,PRD-CUR01,BR0039,2025-07-07,THB,6482.62,6352.97,Active
ACC00000079,841-2-11506-9,CUS0006448,PRD-SAV01,BR0021,2023-06-15,THB,254624.85,249532.35,Active
ACC00000080,648-2-95576-0,CUS0000365,PRD-CUR01,BR0045,2025-09-24,THB,1293221.92,1267357.48,Active
ACC00000081,264-8-53380-8,CUS0007939,PRD-CUR01,BR0048,2021-12-11,THB,3817.06,3740.72,Active
ACC00000082,420-9-63303-3,CUS0004252,PRD-SAV01,BR0019,2022-01-27,THB,85538.17,83827.41,Active
ACC00000083,516-7-53931-3,CUS0003450,PRD-SAV01,BR0017,2019-08-26,THB,140557.08,137745.94,Active
ACC00000084,200-3-49571-4,CUS0006001,PRD-CUR01,BR0013,2023-07-17,THB,17352.21,17005.17,Active
ACC00000085,234-8-53633-9,CUS0006992,PRD-CUR01,BR0001,2022-12-11,THB,5337.3,5230.55,Active
ACC00000086,210-4-42071-6,CUS0001405,PRD-SAL01,BR0040,2018-03-10,THB,13315.35,13049.04,Active
ACC00000087,154-7-58358-6,CUS0003583,PRD-SAV01,BR0017,2024-07-28,THB,1228785.04,1204209.34,Active
ACC00000088,764-1-62682-9,CUS0007989,PRD-CUR01,BR0025,2024-01-22,THB,97560.46,95609.25,Active
ACC00000089,864-9-65288-0,CUS0008464,PRD-SAL01,BR0013,2025-07-26,THB,1404789.71,1376693.92,Dormant
ACC00000090,594-2-86802-3,CUS0002569,PRD-SAV01,BR0037,2023-10-08,THB,1157509.19,1134359.01,Active
ACC00000091,346-2-30289-0,CUS0008756,PRD-SAL01,BR0006,2023-07-16,THB,52417.42,51369.07,Active
ACC00000092,993-3-28745-6,CUS0000117,PRD-SAV02,BR0008,2024-04-27,THB,16774.22,16438.74,Closed
ACC00000093,897-5-44438-0,CUS0008508,PRD-SAV02,BR0034,2022-04-01,THB,185328.9,181622.32,Active
ACC00000094,230-9-41881-2,CUS0007353,PRD-SAL01,BR0029,2018-07-10,THB,60792.5,59576.65,Active
ACC00000095,994-7-33418-5,CUS0005444,PRD-SAV01,BR0034,2018-09-01,THB,1838964.24,1802184.96,Active
ACC00000096,883-5-89207-9,CUS0008937,PRD-SAV01,BR0030,2018-06-19,THB,12585.7,12333.99,Active
ACC00000097,682-9-74119-6,CUS0004559,PRD-CUR01,BR0021,2022-09-23,THB,5469.09,5359.71,Active
ACC00000098,793-7-74581-2,CUS0004868,PRD-CUR01,BR0005,2023-02-19,THB,4816.85,4720.51,Dormant
ACC00000099,895-4-33284-3,CUS0006406,PRD-SAV01,BR0018,2019-12-17,THB,80888.12,79270.36,Active
ACC00000100,618-1-64957-0,CUS0003313,PRD-SAL01,BR0005,2019-05-20,THB,243705.53,238831.42,Active
ACC00000101,359-4-38095-2,CUS0004412,PRD-SAV01,BR0038,2023-04-03,THB,57057.47,55916.32,Active
ACC00000102,163-5-85414-4,CUS0005836,PRD-CUR01,BR0019,2025-10-07,THB,58095.36,56933.45,Active
ACC00000103,616-4-60531-4,CUS0003419,PRD-SAV02,BR0001,2020-09-24,THB,1600200.79,1568196.77,Active
ACC00000104,416-8-99858-1,CUS0008039,PRD-CUR01,BR0050,2023-01-21,THB,18088.52,17726.75,Active
ACC00000105,422-0-13814-6,CUS0004210,PRD-SAL01,BR0012,2025-06-20,THB,63837.67,62560.92,Dormant
ACC00000106,608-6-38402-7,CUS0002017,PRD-SAV01,BR0044,2022-12-30,THB,100254.87,98249.77,Active
ACC00000107,811-2-85264-9,CUS0007023,PRD-SAL01,BR0030,2020-07-31,THB,614474.13,602184.65,Active
ACC00000108,904-5-62433-6,CUS0001870,PRD-SAV01,BR0018,2024-09-23,THB,4007.05,3926.91,Active
ACC00000109,691-4-99328-4,CUS0007864,PRD-SAV01,BR0043,2023-10-24,THB,12956.74,12697.61,Dormant
ACC00000110,611-2-51350-8,CUS0008978,PRD-SAL01,BR0020,2019-10-17,THB,9278.72,9093.15,Active
ACC00000111,118-2-41895-4,CUS0003456,PRD-CUR01,BR0037,2018-06-24,THB,32619.76,31967.36,Active
ACC00000112,845-3-99275-2,CUS0007189,PRD-SAL01,BR0036,2018-06-23,THB,9966.63,9767.3,Dormant
ACC00000113,584-6-37249-0,CUS0002006,PRD-SAV02,BR0032,2020-08-23,THB,133367.58,130700.23,Active
ACC00000114,684-3-31054-5,CUS0002060,PRD-CUR01,BR0025,2025-01-13,THB,72954.35,71495.26,Active
ACC00000115,454-9-27248-1,CUS0007374,PRD-SAL01,BR0038,2020-09-29,THB,64747.48,63452.53,Active
ACC00000116,766-2-70320-5,CUS0001308,PRD-SAL01,BR0011,2021-11-25,THB,14362.11,14074.87,Active
ACC00000117,852-6-32094-9,CUS0008792,PRD-SAV01,BR0015,2018-02-08,THB,278590.1,273018.3,Active
ACC00000118,365-2-26469-8,CUS0000491,PRD-CUR01,BR0045,2021-04-04,THB,767333.62,751986.95,Active
ACC00000119,357-1-33155-1,CUS0003275,PRD-SAL01,BR0042,2020-08-02,THB,1218887.86,1194510.1,Active
ACC00000120,588-0-60181-7,CUS0001010,PRD-SAL01,BR0032,2025-05-09,THB,47136.89,46194.15,Active
ACC00000121,544-3-76566-6,CUS0003956,PRD-CUR01,BR0019,2019-12-29,THB,3414.32,3346.03,Active
ACC00000122,318-6-30291-8,CUS0002109,PRD-SAV01,BR0003,2024-04-26,THB,2689.66,2635.87,Active
ACC00000123,892-6-79203-5,CUS0005455,PRD-SAV01,BR0022,2019-10-20,THB,18215.29,17850.98,Dormant
ACC00000124,730-6-22454-1,CUS0009587,PRD-SAV01,BR0035,2024-03-06,THB,756679.74,741546.15,Active
ACC00000125,532-7-96303-7,CUS0002267,PRD-SAL01,BR0045,2018-10-13,THB,17559.32,17208.13,Active
ACC00000126,806-0-47560-8,CUS0009618,PRD-SAV01,BR0014,2024-06-11,THB,997177.27,977233.72,Active
ACC00000127,979-4-10210-9,CUS0003703,PRD-SAV02,BR0018,2022-06-20,THB,58978.05,57798.49,Active
ACC00000128,855-0-22869-0,CUS0007400,PRD-SAV02,BR0049,2019-03-30,THB,472668.91,463215.53,Active
ACC00000129,300-2-32084-7,CUS0005870,PRD-CUR01,BR0026,2021-06-01,THB,10960.55,10741.34,Active
ACC00000130,984-6-26287-3,CUS0001653,PRD-SAV01,BR0011,2024-12-12,THB,12274.35,12028.86,Active
ACC00000131,687-1-69942-8,CUS0001439,PRD-CUR01,BR0029,2019-05-28,THB,150063.78,147062.5,Dormant
ACC00000132,883-9-14215-4,CUS0007341,PRD-SAV02,BR0007,2019-08-14,THB,5612.58,5500.33,Active
ACC00000133,629-2-14151-3,CUS0003077,PRD-SAV01,BR0042,2022-11-15,THB,73599.14,72127.16,Active
ACC00000134,541-3-32379-4,CUS0002973,PRD-SAV02,BR0004,2021-07-21,THB,94231.53,92346.9,Active
ACC00000135,133-0-54750-7,CUS0002616,PRD-CUR01,BR0021,2026-01-13,THB,786617.13,770884.79,Active
ACC00000136,986-3-60431-0,CUS0008721,PRD-SAV01,BR0035,2025-07-31,THB,11514.57,11284.28,Active
ACC00000137,174-6-86773-6,CUS0006294,PRD-SAV02,BR0018,2023-04-16,THB,847014.89,830074.59,Active
ACC00000138,154-0-28594-0,CUS0004128,PRD-SAV01,BR0008,2025-09-07,THB,55548.04,54437.08,Active
ACC00000139,653-2-77551-5,CUS0009256,PRD-SAL01,BR0029,2026-02-21,THB,16463.63,16134.36,Active
ACC00000140,573-3-57745-9,CUS0003689,PRD-CUR01,BR0018,2023-01-06,THB,18267.11,17901.77,Active
ACC00000141,647-5-60614-0,CUS0000275,PRD-SAL01,BR0024,2023-01-24,THB,7043.16,6902.3,Active
ACC00000142,705-4-66488-3,CUS0006990,PRD-SAV01,BR0001,2025-03-08,THB,5319.42,5213.03,Active
ACC00000143,890-0-74046-1,CUS0000328,PRD-SAV01,BR0044,2024-07-02,THB,805763.06,789647.8,Active
ACC00000144,768-1-26632-0,CUS0005821,PRD-SAV01,BR0049,2019-06-25,THB,1408573.15,1380401.69,Active
ACC00000145,609-1-63342-8,CUS0006278,PRD-SAV01,BR0027,2020-06-18,THB,4110.3,4028.09,Dormant
ACC00000146,110-8-39328-7,CUS0002216,PRD-SAV02,BR0048,2024-07-20,THB,165012.2,161711.96,Active
ACC00000147,787-0-38449-8,CUS0005832,PRD-SAV02,BR0008,2019-07-19,THB,1538526.15,1507755.63,Active
ACC00000148,827-4-32697-2,CUS0008053,PRD-SAL01,BR0006,2025-09-14,THB,1884535.57,1846844.86,Active
ACC00000149,818-2-19267-7,CUS0003273,PRD-CUR01,BR0035,2022-01-09,THB,116352.79,114025.73,Active
ACC00000150,591-2-20939-9,CUS0007888,PRD-SAL01,BR0028,2023-12-08,THB,13429.11,13160.53,Active
ACC00000151,546-6-19533-6,CUS0002668,PRD-CUR01,BR0044,2026-02-18,THB,1022632.08,1002179.44,Active
ACC00000152,166-1-68612-2,CUS0003648,PRD-SAV01,BR0012,2020-03-09,THB,1989097.76,1949315.8,Active
ACC00000153,830-7-25839-8,CUS0002030,PRD-SAL01,BR0035,2022-10-10,THB,13910.25,13632.04,Dormant
ACC00000154,281-5-53336-6,CUS0005200,PRD-CUR01,BR0024,2024-04-06,THB,16806.7,16470.57,Active
ACC00000155,833-8-96669-4,CUS0006517,PRD-SAV02,BR0038,2024-11-30,THB,3228.76,3164.18,Active
ACC00000156,101-9-84639-9,CUS0001385,PRD-CUR01,BR0011,2021-02-11,THB,15611.42,15299.19,Active
ACC00000157,302-3-98667-2,CUS0009385,PRD-SAL01,BR0011,2022-02-15,THB,1264690.63,1239396.82,Active
ACC00000158,469-1-96166-6,CUS0001478,PRD-SAV02,BR0043,2025-11-03,THB,9172.89,8989.43,Active
ACC00000159,576-0-80516-8,CUS0003581,PRD-SAV01,BR0033,2026-04-05,THB,12890.02,12632.22,Active
ACC00000160,186-1-56642-1,CUS0005195,PRD-SAV02,BR0021,2018-04-02,THB,1293355.23,1267488.13,Active
ACC00000161,857-9-48539-7,CUS0006375,PRD-SAL01,BR0043,2021-10-17,THB,7729.41,7574.82,Active
ACC00000162,185-8-20402-3,CUS0008662,PRD-SAV01,BR0046,2020-01-15,THB,13721.61,13447.18,Active
ACC00000163,755-4-56971-1,CUS0008428,PRD-SAL01,BR0032,2025-11-18,THB,155709.93,152595.73,Active
ACC00000164,326-6-24502-2,CUS0002689,PRD-SAV01,BR0009,2020-11-20,THB,192008.33,188168.16,Closed
ACC00000165,883-9-17413-1,CUS0006835,PRD-SAV01,BR0044,2025-02-26,THB,9863.89,9666.61,Active
ACC00000166,172-2-32289-0,CUS0005990,PRD-CUR01,BR0031,2023-04-15,THB,1882887.21,1845229.47,Active
ACC00000167,319-4-86210-2,CUS0006172,PRD-CUR01,BR0038,2024-03-18,THB,26261.48,25736.25,Active
ACC00000168,524-9-54559-3,CUS0003948,PRD-SAV01,BR0020,2026-04-25,THB,818960.11,802580.91,Active
ACC00000169,234-3-19721-3,CUS0007698,PRD-SAL01,BR0010,2020-11-23,THB,198187.68,194223.93,Active
ACC00000170,896-8-13024-4,CUS0006371,PRD-CUR01,BR0017,2020-02-17,THB,1157160.18,1134016.98,Active
ACC00000171,611-7-48696-6,CUS0003091,PRD-SAL01,BR0034,2022-05-12,THB,69383.42,67995.75,Active
ACC00000172,897-1-47113-1,CUS0004375,PRD-CUR01,BR0022,2020-08-22,THB,1896740.72,1858805.91,Active
ACC00000173,727-9-76786-7,CUS0008992,PRD-SAV02,BR0028,2019-09-03,THB,199060.22,195079.02,Active
ACC00000174,750-8-27095-4,CUS0009763,PRD-SAV02,BR0001,2025-10-04,THB,90635.88,88823.16,Active
ACC00000175,799-7-10200-1,CUS0008042,PRD-SAV02,BR0038,2025-11-02,THB,16399.78,16071.78,Dormant
ACC00000176,782-3-58184-0,CUS0003044,PRD-SAV02,BR0032,2019-07-01,THB,153997.02,150917.08,Active
ACC00000177,282-7-54720-5,CUS0003502,PRD-SAV01,BR0042,2024-03-19,THB,5845.0,5728.1,Active
ACC00000178,759-2-17799-3,CUS0001201,PRD-SAV02,BR0012,2023-03-18,THB,935977.26,917257.71,Active
ACC00000179,576-6-49815-5,CUS0005835,PRD-SAL01,BR0008,2018-12-28,THB,19116.33,18734.0,Active
ACC00000180,987-7-90389-4,CUS0001711,PRD-SAL01,BR0045,2022-05-17,THB,12864.79,12607.49,Active
ACC00000181,952-1-67011-4,CUS0003752,PRD-SAL01,BR0014,2022-05-12,THB,17013.36,16673.09,Active
ACC00000182,824-7-53187-1,CUS0004042,PRD-SAV01,BR0047,2020-01-18,THB,1747134.92,1712192.22,Active
ACC00000183,959-8-50450-8,CUS0006645,PRD-CUR01,BR0002,2019-12-02,THB,1718475.1,1684105.6,Active
ACC00000184,527-0-18935-9,CUS0004790,PRD-CUR01,BR0032,2020-02-05,THB,180124.53,176522.04,Active
ACC00000185,955-7-80342-0,CUS0006571,PRD-SAV02,BR0016,2018-03-23,THB,107769.42,105614.03,Active
ACC00000186,504-9-27938-1,CUS0006858,PRD-SAV01,BR0045,2022-10-12,THB,15383.92,15076.24,Active
ACC00000187,438-2-16224-6,CUS0005505,PRD-SAL01,BR0022,2020-03-25,THB,170501.71,167091.68,Active
ACC00000188,738-6-12343-0,CUS0007533,PRD-SAV02,BR0018,2021-05-17,THB,14713.12,14418.86,Active
ACC00000189,813-0-16381-5,CUS0005053,PRD-SAV02,BR0012,2020-03-03,THB,82269.59,80624.2,Active
ACC00000190,258-7-26183-1,CUS0009782,PRD-SAL01,BR0006,2022-12-29,THB,145759.01,142843.83,Active
ACC00000191,215-3-23816-0,CUS0001263,PRD-SAV02,BR0045,2018-05-12,THB,15127.02,14824.48,Active
ACC00000192,288-9-16751-4,CUS0008676,PRD-SAV01,BR0007,2020-10-11,THB,726231.04,711706.42,Active
ACC00000193,500-0-43362-6,CUS0006079,PRD-SAV01,BR0039,2022-01-13,THB,37155.47,36412.36,Active
ACC00000194,175-5-52779-5,CUS0007485,PRD-SAL01,BR0009,2022-10-06,THB,1647331.17,1614384.55,Active
ACC00000195,460-9-35801-6,CUS0001137,PRD-CUR01,BR0027,2024-11-30,THB,50254.18,49249.1,Dormant
ACC00000196,761-1-89130-4,CUS0002651,PRD-SAL01,BR0020,2020-03-30,THB,16302.43,15976.38,Active
ACC00000197,928-2-71514-7,CUS0005711,PRD-SAV01,BR0018,2020-06-10,THB,7809.28,7653.09,Active
ACC00000198,255-4-44450-8,CUS0009620,PRD-CUR01,BR0037,2025-09-08,THB,133318.72,130652.35,Active
ACC00000199,682-5-22189-9,CUS0008883,PRD-SAV01,BR0035,2022-10-29,THB,221761.09,217325.87,Active
ACC00000200,509-5-54658-3,CUS0004160,PRD-SAL01,BR0002,2022-10-10,THB,891272.6,873447.15,Closed
ACC00000201,262-5-41178-4,CUS0004754,PRD-SAV01,BR0030,2020-07-08,THB,75504.41,73994.32,Active
ACC00000202,592-6-60609-9,CUS0003480,PRD-CUR01,BR0034,2024-06-16,THB,1130224.75,1107620.25,Active
ACC00000203,799-3-54535-4,CUS0000895,PRD-CUR01,BR0041,2020-12-30,THB,91957.25,90118.1,Active
ACC00000204,674-1-32041-1,CUS0003585,PRD-SAL01,BR0040,2020-01-10,THB,608119.63,595957.24,Active
ACC00000205,518-0-34670-9,CUS0000355,PRD-CUR01,BR0041,2020-12-07,THB,8160.93,7997.71,Active
ACC00000206,895-2-38574-7,CUS0009318,PRD-CUR01,BR0039,2020-03-18,THB,1320.77,1294.35,Active
ACC00000207,564-7-23076-5,CUS0007018,PRD-SAV02,BR0040,2023-02-10,THB,127071.71,124530.28,Active
ACC00000208,415-1-31998-0,CUS0000184,PRD-SAL01,BR0028,2025-09-12,THB,1471473.19,1442043.73,Active
ACC00000209,847-9-77683-4,CUS0007032,PRD-SAV02,BR0013,2024-06-25,THB,15081.71,14780.08,Active
ACC00000210,774-4-86486-5,CUS0008068,PRD-SAV01,BR0011,2021-06-30,THB,399722.12,391727.68,Active
ACC00000211,583-6-32827-8,CUS0009707,PRD-SAV01,BR0009,2025-07-25,THB,42078.84,41237.26,Active
ACC00000212,637-5-74733-7,CUS0001667,PRD-CUR01,BR0028,2020-09-24,THB,1956675.06,1917541.56,Active
ACC00000213,393-6-48470-5,CUS0005691,PRD-SAV01,BR0043,2018-12-30,THB,504403.83,494315.75,Active
ACC00000214,233-9-71165-0,CUS0008648,PRD-SAV02,BR0015,2025-01-06,THB,11068.24,10846.88,Active
ACC00000215,631-0-45854-5,CUS0006209,PRD-SAL01,BR0038,2021-05-25,THB,14363.36,14076.09,Active
ACC00000216,632-4-79460-7,CUS0002044,PRD-SAV02,BR0021,2024-10-27,THB,1848936.52,1811957.79,Active
ACC00000217,562-8-28033-5,CUS0004678,PRD-SAV01,BR0016,2021-01-11,THB,365248.51,357943.54,Active
ACC00000218,187-4-25246-1,CUS0002303,PRD-SAL01,BR0026,2026-04-20,THB,4844.66,4747.77,Active
ACC00000219,731-7-49831-6,CUS0005295,PRD-SAV01,BR0006,2023-12-13,THB,9908.15,9709.99,Closed
ACC00000220,522-3-47103-3,CUS0006571,PRD-SAL01,BR0023,2019-07-19,THB,475847.73,466330.78,Active
ACC00000221,746-6-73386-3,CUS0005897,PRD-CUR01,BR0036,2025-06-05,THB,41664.54,40831.25,Closed
ACC00000222,688-8-96097-1,CUS0004077,PRD-SAL01,BR0004,2023-07-01,THB,1031702.43,1011068.38,Active
ACC00000223,995-9-33101-1,CUS0007813,PRD-SAV02,BR0048,2020-06-23,THB,11806.77,11570.63,Active
ACC00000224,664-1-67363-3,CUS0005037,PRD-SAV01,BR0008,2025-08-08,THB,19672.77,19279.31,Active
ACC00000225,690-8-95988-2,CUS0001147,PRD-CUR01,BR0045,2019-11-22,THB,1319333.64,1292946.97,Dormant
ACC00000226,727-7-92519-1,CUS0009270,PRD-SAL01,BR0016,2020-09-06,THB,78226.43,76661.9,Active
ACC00000227,336-8-48408-5,CUS0009684,PRD-SAV02,BR0034,2020-04-10,THB,1118.55,1096.18,Active
ACC00000228,745-3-63242-5,CUS0009493,PRD-CUR01,BR0035,2025-02-18,THB,7734.48,7579.79,Active
ACC00000229,792-3-51184-8,CUS0001452,PRD-SAV01,BR0007,2020-04-17,THB,1337881.79,1311124.15,Active
